Is Dead,Accession Number,Catalogue Number,Accepted Name,TaxonomicName,Genus,Family,Provenance Code,Legacy Provenance Code,Country ISO,Last Seen On,source_file,Accession Date,StandardDateISO,Kind,SortScore,MatchType,EditDistance,ScientificName,MatchedName,MatchedCanonical,TaxonId,CurrentName,Synonym,DataSourceId,DataSourceTitle,ClassificationPath,Error
ALIVE,2004-524,K:LCD-2004-524*1,Pitcairnia xanthocalyx,Pitcairnia xanthocalyx,Pitcairnia,Bromeliaceae,,,,31-01-2023,TropicalNursery_Simplified.xlsx,2004,2004-01-01,BestMatch,9.41215,Exact,0,Pitcairnia xanthocalyx,Pitcairnia xanthocalyx Mart.,Pitcairnia xanthocalyx,77LNQ,Pitcairnia xanthocalyx Mart.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Poales|Bromeliaceae|Pitcairnia|Pitcairnia xanthocalyx,
ALIVE,1983-5539,K:LCD-1983-5539*1,Laelia rubescens,Laelia rubescens,Laelia,Orchidaceae,,N - Natural Source and Progeny,Mexico,22-08-2024,TropicalNursery_Simplified.xlsx,1983,1983-01-01,BestMatch,9.41215,Exact,0,Laelia rubescens,Laelia rubescens Lindl.,Laelia rubescens,6NRR2,Laelia rubescens Lindl.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Asparagales|Orchidaceae|Laelia|Laelia rubescens,
ALIVE,2010-2258,K:LCD-2010-2258*2,Commidendrum robustum,Commidendrum robustum,Commidendrum,Asteraceae,,N - Natural Source and Progeny,"Saint Helena, Ascension, and Tristan da Cunha",07-11-2024,TropicalNursery_Simplified.xlsx,2010,2010-01-01,BestMatch,9.41215,Exact,0,Commidendrum robustum,Commidendrum robustum (Roxb.) DC.,Commidendrum robustum,XFZY,Commidendrum robustum (Roxb.) DC.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Asterales|Asteraceae|Asteroideae|Commidendrum|Commidendrum robustum,
ALIVE,2009-3409,K:LCD-2009-3409*1,Melocactus inconcinnus,Melocactus inconcinnus,Melocactus,Cactaceae,,,,22-02-2024,TropicalNursery_Simplified.xlsx,2009,2009-01-01,BestMatch,9.41215,Exact,0,Melocactus inconcinnus,Melocactus inconcinnus Buining & Brederoo,Melocactus inconcinnus,3ZLQS,Melocactus inconcinnus Buining & Brederoo,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Caryophyllales|Cactaceae|Cactoideae|Melocactus|Melocactus inconcinnus,
ALIVE,2000-1376,K:LCD-2000-1376*1,Paphiopedilum hirsutissimum,Paphiopedilum hirsutissimum,Paphiopedilum,Orchidaceae,,,,16-01-2025,TropicalNursery_Simplified.xlsx,2000,2000-01-01,BestMatch,9.41206,Exact,0,Paphiopedilum hirsutissimum,Paphiopedilum hirsutissimum (Lindl. ex Hook.) Stein,Paphiopedilum hirsutissimum,4CJV4,Paphiopedilum hirsutissimum (Lindl. ex Hook.) Stein,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Asparagales|Orchidaceae|Paphiopedilum|Paphiopedilum hirsutissimum,
ALIVE,2010-453,K:LCD-2010-453*1,Ampelocissus elephantina,Ampelocissus elephantina,Ampelocissus,Vitaceae,,N - Natural Source and Progeny,Madagascar,05-07-2023,TropicalNursery_Simplified.xlsx,2010,2010-01-01,BestMatch,9.41215,Exact,0,Ampelocissus elephantina,Ampelocissus elephantina Planch.,Ampelocissus elephantina,CYBX,Ampelocissus elephantina Planch.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Vitales|Vitaceae|Vitoideae|Ampelocissus|Ampelocissus elephantina,
ALIVE,1984-1736,K:LCD-1984-1736*1,Dicliptera japonica,Peristrophe chinensis,Peristrophe,Acanthaceae,,N - Natural Source and Progeny,China,29-06-2022,TropicalNursery_Simplified.xlsx,1984,1984-01-01,BestMatch,9.41180,Exact,0,Peristrophe chinensis,Peristrophe chinensis Nees,Peristrophe chinensis,4F53D,Dicliptera japonica (Thunb.) Makino,true,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Lamiales|Acanthaceae|Acanthoideae|Dicliptera|Dicliptera japonica,
ALIVE,2014-1355,K:LCD-2014-1355*1,Passiflora palmeri,Passiflora palmeri,Passiflora,Passifloraceae,,N - Natural Source and Progeny,Mexico,18-07-2023,TropicalNursery_Simplified.xlsx,2014,2014-01-01,BestMatch,9.41215,Exact,0,Passiflora palmeri,Passiflora palmeri Rose,Passiflora palmeri,4DYRH,Passiflora palmeri Rose,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Malpighiales|Passifloraceae|Passifloroideae|Passiflora|Passiflora palmeri,
ALIVE,2008-2527,K:LCD-2008-2527*1,Vitellaria paradoxa,Vitellaria paradoxa,Vitellaria,Sapotaceae,,,Burkina Faso,23-12-2023,TropicalNursery_Simplified.xlsx,2008,2008-01-01,BestMatch,9.41215,Exact,0,Vitellaria paradoxa,Vitellaria paradoxa C.F.Gaertn.,Vitellaria paradoxa,5BKVQ,Vitellaria paradoxa C.F.Gaertn.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Magnoliopsida|Ericales|Sapotaceae|Vitellaria|Vitellaria paradoxa,
ALIVE,1983-2086,K:LCD-1983-2086*1,Pitcairnia staminea,Pitcairnia staminea,Pitcairnia,Bromeliaceae,,N - Natural Source and Progeny,Brazil,31-01-2023,TropicalNursery_Simplified.xlsx,1983,1983-01-01,BestMatch,9.41215,Exact,0,Pitcairnia staminea,Pitcairnia staminea G.Lodd.,Pitcairnia staminea,77LYQ,Pitcairnia staminea G.Lodd.,false,1,Catalogue of Life,Eukaryota|Plantae|Pteridobiotina|Tracheophyta|Liliopsida|Poales|Bromeliaceae|Pitcairnia|Pitcairnia staminea,
