Id;Code interne;UID;Numero de specimen cultive;Status de determination;Determination acceptee;Famille;Familie Citation d'auteurs;Familie Hybride;Genre;Genre Citation d'auteurs;Genre Hybride;Espece;Espece Citation d'auteurs;Espece Hybride;Sous-espece;Sous-espece Citation d'auteurs;Sous-espece Hybride;Rang taxonomique;Citation d'auteurs;Cultivar;Obtenteur;Date d'obtention;Pays d'obtention;Nom commercial;Nom s  commun s ;Type biologique;Habitat;Code ipen;Objectif de culture;Site;Aire;Groupe;Sous-groupe;Type d'emplacement;Secteur;Jardinier ere ;Etat de l'etiquette;Vivant;Date de mort;Cause de mort;Nom d'acquisition;Geolocalisation;Type de provenance;Type d'acquisition;Sexe;Aire de distribution;Type de culture;Acronyme   Code  interne  du correspondant;Correspondant;Remarque;Remarque sur l'acquisition;Remarque sur la nomenclature;Main courante;Feuillage Particularites;Floraison Particularites;General Particularites;Morphologie;Complements
55073;;8657a5db-134d-4bc1-92c8-3a5e90b154f7;19500443I0;Non determine;Glechoma hederacea L.;Lamiaceae;Martinov;;Glechoma;L.;;hederacea;L.;;;;;;;;;;;;;;;XX-0-NEU-19500443;Culture de collection;Jardin Botanique de Neuchâtel;;Jardin des simples;Forêt;Groupe;Jardin;;Inconnue;VRAI;;;Glechoma hederacea L.;;Inconnue;J;;;;;;;... [EXPORT]>400-> NO NOTE;... [EXPORT]>400-> NO NOTE;;;;;;
55074;;290eb291-b04a-4456-bf47-7b0d409940ce;20160112C0;Non determine;Alyssoides bulgarica (Schrank) Assenov;Brassicaceae;Burnett;;Alyssoides;Mill.;;bulgarica;(Schrank) Assenov;;;;;;;;;;;;;;;BG-0-G-19977033;Culture de collection;Jardin Botanique de Neuchâtel;;Alpinum;Carpates;Groupe;Jardin;;Inconnue;VRAI;;;Alyssoides utriculata var. bulgarica (Sagorski) Hayek;;Sauvage (cultive);J;;;;G;Conservatoire et Jardin botaniques Geneve;;... [EXPORT]>400-> NO NOTE;... [EXPORT]>400-> NO NOTE;;;;;;
55075;;5850ac98-fc12-4ef5-8307-3f0efa1887c5;19500444I0;Non determine;Phyllitis scolopendrium (L.) Newman;;;;;;;scolopendrium;(L.) Newman;;;;;;;;;;;;;;;XX-0-NEU-19500444;Culture de collection;Jardin Botanique de Neuchâtel;;Jardin des simples;Forêt;Groupe;Jardin;;Absent;VRAI;;;Phyllitis scolopendrium (L.) Newman;;Inconnue;J;;;;;;;... [EXPORT]>400-> NO NOTE;... [EXPORT]>400-> NO NOTE;;;;;;
55076;;45856745-7917-4878-8b80-bb935d2a1c4c;19500445I0;Non determine;Arum maculatum L.;Araceae;Juss.;;Arum;L.;;maculatum;L.;;;;;;;;;;;;;;;XX-0-NEU-19500445;Culture de collection;Jardin Botanique de Neuchâtel;;Jardin des simples;Forêt;Groupe;Jardin;;Inconnue;VRAI;;;Arum maculatum L.;;Inconnue;J;;;;;;;... [EXPORT]>400-> NO NOTE;... [EXPORT]>400-> NO NOTE;;;;;;
55077;;b76ae26b-9e77-4af5-93c4-0ca8d745aa75;19500446I0;Non determine;Dryopteris filix-mas (L.) Schott;Dryopteridaceae;Herter;;Dryopteris;Adans.;;filix-mas;(L.) Schott;;;;;;;;;;;;;;;XX-0-NEU-19500446;Culture de collection;Jardin Botanique de Neuchâtel;;Jardin des simples;Forêt;Groupe;Jardin;;Inconnue;VRAI;;;Dryopteris filix-mas (L.) Schott;;Inconnue;J;;;;;;;... [EXPORT]>400-> NO NOTE;... [EXPORT]>400-> NO NOTE;;;;;;
55078;;a28f1628-9e00-4f29-8baa-8c8f7f65e0ef;19500447I0;Non determine;Aquilegia vulgaris L.;Ranunculaceae;Juss.;;Aquilegia;L.;;vulgaris;L.;;;;;;;;;;;;;;;XX-0-NEU-19500447;Culture de collection;Jardin Botanique de Neuchâtel;;Jardin des simples;Forêt;Groupe;Jardin;;Inconnue;VRAI;;;Aquilegia vulgaris L.;;Inconnue;J;;;;;;;... [EXPORT]>400-> NO NOTE;... [EXPORT]>400-> NO NOTE;;;;;;
55079;;c02c79db-bcef-478b-8e4f-613030959be3;19500448I0;Non determine;Rubus idaeus L.;Rosaceae;Juss.;;Rubus;L.;;idaeus;L.;;;;;;;;;;;;;;;XX-0-NEU-19500448;Culture de collection;Jardin Botanique de Neuchâtel;;Jardin des simples;Forêt;Groupe;Jardin;;Inconnue;VRAI;;;Rubus idaeus L.;;Inconnue;J;;;;;;;... [EXPORT]>400-> NO NOTE;... [EXPORT]>400-> NO NOTE;;;;;;
55080;;b3ff1ac7-89d0-46a5-8e2a-bc5f8271cbd1;19500449I0;Non determine;Sambucus racemosa L.;Viburnaceae;Raf.;;Sambucus;L.;;racemosa;L.;;;;;;;;;;;;;;;XX-0-NEU-19500449;Culture de collection;Jardin Botanique de Neuchâtel;;Jardin des simples;Forêt;Groupe;Jardin;;Inconnue;VRAI;;;Sambucus racemosa L.;;Inconnue;J;;;;;;;... [EXPORT]>400-> NO NOTE;... [EXPORT]>400-> NO NOTE;;;;;;
55081;;555917f4-c732-4c5c-9cee-ff7ed305ab61;19500450I0;Non determine;Inula helenium L.;Compositae;Giseke;;Inula;L.;;helenium;L.;;;;;;;;;;;;;;;XX-0-NEU-19500450;Culture de collection;Jardin Botanique de Neuchâtel;;Jardin des simples;Forêt;Groupe;Jardin;;Inconnue;VRAI;;;Inula helenium L.;;Inconnue;J;;;;;;;... [EXPORT]>400-> NO NOTE;... [EXPORT]>400-> NO NOTE;;;;;;
55082;;285296c2-52a9-4b3f-a776-7aededef32b8;19500451I0;Non determine;Centaurea jacea L.;Compositae;Giseke;;Centaurea;L.;;jacea;L.;;;;;;;;;;;;;;;XX-0-NEU-19500451;Culture de collection;Jardin Botanique de Neuchâtel;;Jardin des simples;Forêt;Groupe;Jardin;;Inconnue;VRAI;;;Centaurea jacea L.;;Inconnue;J;;;;;;;... [EXPORT]>400-> NO NOTE;... [EXPORT]>400-> NO NOTE;;;;;;
55083;;45a4449d-7d6c-4936-b7be-bf9206598a77;20160113I0;Non determine;Aurinia petraea (Ard.) Schur;Brassicaceae;Burnett;;Aurinia;Desv.;;petraea;(Ard.) Schur;;;;;;;;;;;;;;;XX-0-G-19780289;Culture de collection;Jardin Botanique de Neuchâtel;;Alpinum;Carpates;Groupe;Jardin;;Inconnue;VRAI;;;Aurinia petraea (Ard.) Schur;;Inconnue;J;;;;;;;... [EXPORT]>400-> NO NOTE;... [EXPORT]>400-> NO NOTE;;;;;;
55084;;3b8d040f-d6db-49cf-ac54-b26ee41004d6;19500452I0;Non determine;Fragaria vesca L.;Rosaceae;Juss.;;Fragaria;L.;;vesca;L.;;;;;;;;;;;;;;;XX-0-NEU-19500452;Culture de collection;Jardin Botanique de Neuchâtel;;Jardin des simples;Forêt;Groupe;Jardin;;Inconnue;VRAI;;;Fragaria vesca L.;;Inconnue;J;;;;;;;... [EXPORT]>400-> NO NOTE;... [EXPORT]>400-> NO NOTE;;;;;;
55085;;d09d82b9-2df2-4fcf-89fc-66354a883b27;19500453I0;Non determine;Geum urbanum L.;Rosaceae;Juss.;;Geum;L.;;urbanum;L.;;;;;;;;;;;;;;;XX-0-NEU-19500453;Culture de collection;Jardin Botanique de Neuchâtel;;Jardin des simples;Forêt;Groupe;Jardin;;Inconnue;VRAI;;;Geum urbanum L.;;Inconnue;J;;;;;;;... [EXPORT]>400-> NO NOTE;... [EXPORT]>400-> NO NOTE;;;;;;
55086;;134f41b7-7509-4cbb-b455-98e6cfa314fd;19500454I0;Non determine;Allium ursinum L.;Amaryllidaceae;J.St.-Hil.;;Allium;L.;;ursinum;L.;;;;;;;;;;;;;;;XX-0-NEU-19500454;Culture de collection;Jardin Botanique de Neuchâtel;;Jardin des simples;Forêt;Groupe;Jardin;;Inconnue;VRAI;;;Allium ursinum L.;;Inconnue;J;;;;;;;... [EXPORT]>400-> NO NOTE;... [EXPORT]>400-> NO NOTE;;;;;;
55087;;a80ba654-898f-43d5-a77d-0298a68ee7b0;19500455I0;Non determine;Helleborus foetidus L.;Ranunculaceae;Juss.;;Helleborus;L.;;foetidus;L.;;;;;;;;;;;;;;;XX-0-NEU-19500455;Culture de collection;Jardin Botanique de Neuchâtel;;Jardin des simples;Forêt;Groupe;Jardin;;Inconnue;VRAI;;;Helleborus foetidus L.;;Inconnue;J;;;;;;;... [EXPORT]>400-> NO NOTE;... [EXPORT]>400-> NO NOTE;;;;;;
55088;;724ac975-365c-4c7e-b209-fb34e0b959ae;19500456I0;Non determine;Digitalis purpurea L. subsp. purpurea;Plantaginaceae;Juss.;;Digitalis;Tourn. ex L.;;purpurea;L.;;purpurea;L.;;subsp.;;;;;;;;;;XX-0-NEU-19500456;Culture de collection;Jardin Botanique de Neuchâtel;;Jardin des simples;Forêt;Groupe;Jardin;;Inconnue;VRAI;;;Digitalis purpurea L.;;Inconnue;J;;;;;;;... [EXPORT]>400-> NO NOTE;... [EXPORT]>400-> NO NOTE;;;;;;
55089;;d8029a31-aa13-47f0-b53b-adae8c5a019c;19500457I0;Non determine;Hypericum perforatum L.;Hypericaceae;Juss.;;Hypericum;Tourn. ex L.;;perforatum;L.;;;;;;;;;;;;;;;XX-0-NEU-19500457;Culture de collection;Jardin Botanique de Neuchâtel;;Jardin des simples;Forêt;Groupe;Jardin;;Inconnue;VRAI;;;Hypericum perforatum L.;;Inconnue;J;;;;;;;... [EXPORT]>400-> NO NOTE;... [EXPORT]>400-> NO NOTE;;;;;;
55090;;8f8003e2-eac5-4cf2-a913-fd2d623986eb;19500458I0;Non determine;Oenothera biennis L.;Onagraceae;Juss.;;Oenothera;L.;;biennis;L.;;;;;;;;;;;;;;;XX-0-NEU-19500458;Culture de collection;Jardin Botanique de Neuchâtel;;Jardin des simples;Subspontane;Groupe;Jardin;;Inconnue;VRAI;;;Oenothera biennis L.;;Inconnue;J;;;;;;;... [EXPORT]>400-> NO NOTE;... [EXPORT]>400-> NO NOTE;;;;;;
55091;;6c8e71fa-5fab-4d93-afa6-83520875cd21;20160114C0;Non determine;Althaea officinalis L.;Malvaceae;Juss.;;Althaea;L.;;officinalis;L.;;;;;;;;;;;;;;;CH-0-NEU-20160114;Culture de collection;Jardin Botanique de Neuchâtel;;Jardin des simples;Subspontane;Groupe;Jardin;;Inconnue;VRAI;;;Althaea officinalis L.;;Sauvage (cultive);J;;;;PAWI;Die Wildstaudengärtnerei Patricia Willi;;... [EXPORT]>400-> NO NOTE;... [EXPORT]>400-> NO NOTE;;;;;;
55092;;62a8d316-3e99-485a-9a8f-1f9d2b7435c3;19500459I0;Non determine;Calendula officinalis L.;Compositae;Giseke;;Calendula;L.;;officinalis;L.;;;;;;;;;;;;;;;XX-0-NEU-19500459;Culture de collection;Jardin Botanique de Neuchâtel;;Jardin des simples;Subspontane;Groupe;Jardin;;Inconnue;VRAI;;;Calendula officinalis L.;;Inconnue;J;;;;;;;... [EXPORT]>400-> NO NOTE;... [EXPORT]>400-> NO NOTE;;;;;;
55093;;5e742abf-64cd-49a9-9313-664001d6e4fd;19500460I0;Non determine;Anethum graveolens L.;Apiaceae;Lindl.;;Anethum;L.;;graveolens;L.;;;;;;;;;;;;;;;XX-0-NEU-19500460;Culture de collection;Jardin Botanique de Neuchâtel;;Jardin des simples;Subspontane;Groupe;Jardin;;Inconnue;VRAI;;;Anethum graveolens L.;;Inconnue;J;;;;;;;... [EXPORT]>400-> NO NOTE;... [EXPORT]>400-> NO NOTE;;;;;;
55094;;f36045c5-894b-4c84-83e0-a21d85a5acd1;19500461I0;Non determine;Lepidium sativum L.;Brassicaceae;Burnett;;Lepidium;L.;;sativum;L.;;;;;;;;;;;;;;;XX-0-NEU-19500461;Culture de collection;Jardin Botanique de Neuchâtel;;Jardin des simples;Subspontane;Groupe;Jardin;;Inconnue;VRAI;;;Lepidium sativum L.;;Inconnue;J;;;;;;;... [EXPORT]>400-> NO NOTE;... [EXPORT]>400-> NO NOTE;;;;;;
55095;;50c1c506-be60-41ed-a6a7-edc7ed958195;19500462I0;Non determine;Melissa officinalis L.;Lamiaceae;Martinov;;Melissa;Tourn. ex L.;;officinalis;L.;;;;;;;;;;;;;;;XX-0-NEU-19500462;Culture de collection;Jardin Botanique de Neuchâtel;;Jardin des simples;Subspontane;Groupe;Jardin;;Inconnue;VRAI;;;Melissa officinalis L.;;Inconnue;J;;;;;;;... [EXPORT]>400-> NO NOTE;... [EXPORT]>400-> NO NOTE;;;;;;
55096;;c86ee70d-e08d-4fb1-9f20-e11072fe430e;19500463I0;Non determine;Foeniculum vulgare Mill.;Apiaceae;Lindl.;;Foeniculum;Mill.;;vulgare;Mill.;;;;;;;;;;;;;;;XX-0-NEU-19500463;Culture de collection;Jardin Botanique de Neuchâtel;;Jardin des simples;Subspontane;Groupe;Jardin;;Inconnue;VRAI;;;Foeniculum vulgare Mill.;;Inconnue;J;;;;;;;... [EXPORT]>400-> NO NOTE;... [EXPORT]>400-> NO NOTE;;;;;;
55097;;fce9e2bb-78f7-416b-8cfe-cf95c0254f33;19500464I0;Non determine;Isatis tinctoria L.;Brassicaceae;Burnett;;Isatis;L.;;tinctoria;L.;;;;;;;;;;;;;;;XX-0-NEU-19500464;Culture de collection;Jardin Botanique de Neuchâtel;;Jardin des simples;Subspontane;Groupe;Jardin;;Inconnue;VRAI;;;Isatis tinctoria L.;;Inconnue;J;;;;;;;... [EXPORT]>400-> NO NOTE;... [EXPORT]>400-> NO NOTE;;;;;;
55098;;76da020b-5b56-446e-b276-e6cbdedbed49;19500465I0;Non determine;Papaver somniferum L.;Papaveraceae;Juss.;;Papaver;L.;;somniferum;L.;;;;;;;;;;;;;;;XX-0-NEU-19500465;Culture de collection;Jardin Botanique de Neuchâtel;;Jardin des simples;Subspontane;Groupe;Jardin;;Inconnue;VRAI;;;Papaver somniferum L.;;Inconnue;J;;;;;;;... [EXPORT]>400-> NO NOTE;... [EXPORT]>400-> NO NOTE;;;;;;
55099;;b4ceb3ae-5a10-47d6-8ac0-034987340aba;20190245H0;Non determine;Cnicus benedictus L.;Compositae;Giseke;;Cnicus;L.;;benedictus;L.;;;;;;;;;;;;;;;XX-0-NEU-20190245;Culture de collection;Jardin Botanique de Neuchâtel;;Jardin des simples;Subspontane;Groupe;Jardin;;Inconnue;VRAI;;;Cnicus benedictus L.;;Horticole;J;;;;SAT;Sativa;;... [EXPORT]>400-> NO NOTE;... [EXPORT]>400-> NO NOTE;;;;;;
55100;;a003fc74-3348-403f-b9d6-ecae1942fd37;20160115I0;Non determine;Dracocephalum ruyschiana L.;Lamiaceae;Martinov;;Dracocephalum;L.;;ruyschiana;L.;;;;;;;;;;;;;;;XX-0-G-19785112;Culture de collection;Jardin Botanique de Neuchâtel;;Alpinum;Caucase;Groupe;Jardin;;Inconnue;VRAI;;;Dracocephalum ruyschiana L.;;Inconnue;J;;;;G;Conservatoire et Jardin botaniques Geneve;;... [EXPORT]>400-> NO NOTE;... [EXPORT]>400-> NO NOTE;;;;;;
