Numéro de spécimen cultivé;Détermination acceptée;famille;Familie Citation d'auteurs;genre;Genre Citation d'auteurs;Genre Hybride;espece;Espèce Citation d'auteurs;Espèce Hybride;Sous-espèce;Sous-espèce Citation d'auteurs;Sous-espèce Hybride;Rang taxonomique;Citation d'auteurs;Cultivar;Code ipen;Secteur
20150534I0;Bulbine semibarbata Haw.;Asphodelaceae;Juss.;Bulbine;Wolf;;semibarbata;Haw.;;;;;;;;XX0G20150534;Serres
20150621I0;Bulbine annua (L.) Willd.;Asphodelaceae;Juss.;Bulbine;Wolf;;annua;(L.) Willd.;;;;;;;;XX0AMD20120396;Serres
20150572I0;Bursera fagaroides (Kunth) Engl.;Burseraceae;Kunth;Bursera;L.;;fagaroides;(Kunth) Engl.;;;;;;;;XX0G20150572;Serres
20150674I0;Echium simplex DC.;Boraginaceae;Juss.;Echium;L.;;simplex;DC.;;;;;;;;XX0GIESS2012M338;Serres
20150570C0;Aloe microstigma Salm-Dyck;Asphodelaceae;Juss.;Aloe;L.;;microstigma;Salm-Dyck;;;;;;;;ZA0G20150570;Serres
20150583I0;Aloe striata Haw.;Asphodelaceae;Juss.;Aloe;L.;;striata;Haw.;;;;;;;;XX0G20150583;Serres
20150620I0;Aloe vacillans Forssk.;Asphodelaceae;Juss.;Aloe;L.;;vacillans;Forssk.;;;;;;;;XX0AMDA3001;Serres
20150582I0;Aloe erythrophylla Bosser;Asphodelaceae;Juss.;Aloe;L.;;erythrophylla;Bosser;;;;;;;;XX0G20150582;Serres
20150576I0;Kedrostis punctulata (Sond.) Cogn.;Cucurbitaceae;Juss.;Kedrostis;Medik.;;punctulata;(Sond.) Cogn.;;;;;;;;XX0G20150576;Serres
20150707I0;Phoenix reclinata Jacq.;Arecaceae;Bercht. & J.Presl;Phoenix;L.;;reclinata;Jacq.;;;;;;;;XX0VAL920CA;Serres
20160511N0;Picea glauca (Moench) Voss;Pinaceae;Spreng. ex Rudolphi;Picea;A.Dietr.;;glauca;(Moench) Voss;;;;;;;;CA0G20160511;Entretien général et dendrologie
19936848J3;Caryopteris ×clandonensis hort. BARBE-BLEUE 'Heavenly Blue';Lamiaceae;Martinov;Caryopteris;Bunge;;×clandonensis;hort.;VRAI;;;;notho;;Heavenly Blue;XX0G19936848;Entretien général et dendrologie
20160573J0;Senna alexandrina Mill.;Fabaceae;Juss.;Senna;Mill.;;alexandrina;Mill.;;;;;;;;XX0G20160573;Entretien général et dendrologie
20160566J0;Serenoa repens (W.Bartram) Small;Arecaceae;Bercht. & J.Presl;Serenoa;Hook.f.;;repens;(W.Bartram) Small;;;;;;;;XX0G20160566;Entretien général et dendrologie
20160533N0;Campanula rapunculus L.;Campanulaceae;Juss.;Campanula;L.;;rapunculus;L.;;;;;;;;HU0G20160533;Rocailles
20160538N0;Euphorbia platyphyllos L.;Euphorbiaceae;Juss.;Euphorbia;L.;;platyphyllos;L.;;;;;;;;HU0G20160538;Rocailles
20160571J0;Rhodiola ishidae Hara;Crassulaceae;J.St.-Hil.;Rhodiola;L.;;ishidae;Hara;;;;;;;;XX-0-HAL-4902;Rocailles
20160595J0;Artemisia gmelini Stechm.;Asteraceae;Giseke;Artemisia;L.;;gmelini;Stechm.;;;;;;;;XX0G20160595;Rocailles
20160611I0;Dyckia marnier-lapostollei L.B.Sm.;Bromeliaceae;Juss.;Dyckia;Schult.f.;;marnier-lapostollei;L.B.Sm.;;;;;;;;XX0G20160611;Entretien général et dendrologie
20160617C0;Echeveria affinis E.Walther;Crassulaceae;J.St.-Hil.;Echeveria;DC.;;affinis;E.Walther;;;;;;;;MX0G20160617;Entretien général et dendrologie
20160610C0;Dyckia goehringii E.Gross & Rauh;Bromeliaceae;Juss.;Dyckia;Schult.f.;;goehringii;E.Gross & Rauh;;;;;;;;BR0G20160610;Entretien général et dendrologie
20160609C0;Dyckia alba S.Winkl.;Bromeliaceae;Juss.;Dyckia;Schult.f.;;alba;S.Winkl.;;;;;;;;BR0G20160609;Entretien général et dendrologie
20160519N0;Chelone glabra L.;Plantaginaceae;Juss.;Chelone;L.;;glabra;L.;;;;;;;;CA0G20160519;Rocailles
20160482N0;Diplotaxis tenuifolia (L.) DC.;Brassicaceae;Burnett;Diplotaxis;DC.;;tenuifolia;(L.) DC.;;;;;;;;DE0BHU20140543;Rocailles
20130751N0;Phyteuma orbiculare L.;Campanulaceae;;Phyteuma;;;orbiculare;;;;;;;;;CH0G20130751;Rocailles
20160878N2;Salix ×hegetschweileri Heer;Salicaceae;Mirb.;Salix;L.;;×hegetschweileri;Heer;VRAI;;;;;;;CH0G20160878;Rocailles
20160878N6;Salix ×hegetschweileri Heer;Salicaceae;Mirb.;Salix;L.;;×hegetschweileri;Heer;VRAI;;;;;;;CH0G20160878;Rocailles
20160878N5;Salix ×hegetschweileri Heer;Salicaceae;Mirb.;Salix;L.;;×hegetschweileri;Heer;VRAI;;;;;;;CH0G20160878;Rocailles
20160878N4;Salix ×hegetschweileri Heer;Salicaceae;Mirb.;Salix;L.;;×hegetschweileri;Heer;VRAI;;;;;;;CH0G20160878;Rocailles
20080613J1;Spiraea mollifolia Rehder;Rosaceae;Juss.;Spiraea;L.;;mollifolia;Rehder;;;;;;;;CN0GENT19931591;Entretien général et dendrologie
20160878N1;Salix ×hegetschweileri Heer;Salicaceae;Mirb.;Salix;L.;;×hegetschweileri;Heer;VRAI;;;;;;;CH0G20160878;Rocailles
20160878N3;Salix ×hegetschweileri Heer;Salicaceae;Mirb.;Salix;L.;;×hegetschweileri;Heer;VRAI;;;;;;;CH0G20160878;Rocailles
20161023J0;Aristolochia arborea Linden;Aristolochiaceae;Juss.;Aristolochia;L.;;arborea;Linden;;;;;;;;XX0B2390185;Serres
20160877N2;Salix ×hegetschweileri Heer;Salicaceae;Mirb.;Salix;L.;;×hegetschweileri;Heer;VRAI;;;;;;;CH0G20160877;Rocailles
20161025J0;Chamaedorea seifrizii Burret;Arecaceae;Bercht. & J.Presl;Chamaedorea;Willd.;;seifrizii;Burret;;;;;;;;XX0POTSD198700483;Serres
20161027J0;Seyrigia gracilis Keraudren;Cucurbitaceae;Juss.;Seyrigia;Keraudren;;gracilis;Keraudren;;;;;;;;XX0POTSD194063081;Serres
20161016N0;Artemisia vallesiaca All.;Asteraceae;Giseke;Artemisia;L.;;vallesiaca;All.;;;;;;;;IT0G20161016;Rocailles
20160877N3;Salix ×hegetschweileri Heer;Salicaceae;Mirb.;Salix;L.;;×hegetschweileri;Heer;VRAI;;;;;;;CH0G20160877;Rocailles
20160877N1;Salix ×hegetschweileri Heer;Salicaceae;Mirb.;Salix;L.;;×hegetschweileri;Heer;VRAI;;;;;;;CH0G20160877;Rocailles
20161024J0;Brahea calcarea Liebm.;Arecaceae;Bercht. & J.Presl;Brahea;Mart.;;calcarea;Liebm.;;;;;;;;XX0POTSD20000207;Serres
20161028J0;Bauhinia yunnanensis Franch.;Fabaceae;Juss.;Bauhinia;Plum. ex L.;;yunnanensis;Franch.;;;;;;;;XX0POTSD200714413;Serres
19947433J1;Polypodium vulgare L.;Polypodiaceae;J.Presl & C.Presl;Polypodium;L.;;vulgare;L.;;;;;;;;XX0G19947433;Entretien général et dendrologie
19810302I3;Dryopteris filix-mas (L.) Schott;Dryopteridaceae;Herter;Dryopteris;Adans.;;filix-mas;(L.) Schott;;;;;;;;XX0G19810302;Entretien général et dendrologie
19800962I1;Osmanthus decorus Kasapligil;Oleaceae;Hoffmanns. & Link;Osmanthus;Lour.;;decorus;Kasapligil;;;;;;;;XX0G19800962;Entretien général et dendrologie
20161030J0;Lobelia siphilitica L.;Campanulaceae;Juss.;Lobelia;L.;;siphilitica;L.;;;;;;;;XX0G20161030;Entretien général et dendrologie
19790468I2;Skimmia reevesiana Fortune;Rutaceae;Juss.;Skimmia;Thunb.;;reevesiana;Fortune;;;;;;;;XX0G19790468;Agriculture et Conservation
20130766N0;Erica arborea L.;Ericaceae;Juss.;Erica;L.;;arborea;L.;;;;;;;;DZ0G20130766;Entretien général et dendrologie
19600145N2;Viola odorata L.;Violaceae;Batsch;Viola;L.;;odorata;L.;;;;;;;;CH0G19600145;Entretien général et dendrologie
19790461I4;Pachysandra terminalis Siebold & Zucc.;Buxaceae;Dumort.;Pachysandra;Michx.;;terminalis;Siebold & Zucc.;;;;;;;;XX0G19790461;Entretien général et dendrologie
20120043J1;Enkianthus campanulatus (Miq.) G.Nicholson;Ericaceae;Juss.;Enkianthus;Lour.;;campanulatus;(Miq.) G.Nicholson;;;;;;;;XX0LZZF1601997;Entretien général et dendrologie
20150928I0;Syringa vulgaris L.;Oleaceae;Hoffmanns. & Link;Syringa;L.;;vulgaris;L.;;;;;;;;XX0G20150928;Rocailles
20151273N0;Episcia cupreata (Hook.) Hanst.;Gesneriaceae;Rich. & Juss.;Episcia;Mart.;;cupreata;(Hook.) Hanst.;;;;;;;;VE0B0180693;Serres
19916918J1;Iris sintenisii Janka;Iridaceae;Juss.;Iris;L.;;sintenisii;Janka;;;;;;;;XX0G19916918;Entretien général et dendrologie
19976957N2;Vinca minor L.;Apocynaceae;Juss.;Vinca;L.;;minor;L.;;;;;;;;CH0G19976957;Entretien général et dendrologie
19783536I1;Hypericum coris L.;Hypericaceae;Juss.;Hypericum;Tourn. ex L.;;coris;L.;;;;;;;;XX0G19783536;Rocailles
19861908J1;Iris sikkimensis Dykes;Iridaceae;Juss.;Iris;L.;;sikkimensis;Dykes;;;;;;;;XX0G19861908;Entretien général et dendrologie
20151274N0;Paradrymonia campostyla (Leeuwenb.) Wiehler;Gesneriaceae;Rich. & Juss.;Paradrymonia;Hanst.;;campostyla;(Leeuwenb.) Wiehler;;;;;;;;GF0M20033143;Serres
19600310J1;Geranium renardii Trautv.;Geraniaceae;Juss.;Geranium;L.;;renardii;Trautv.;;;;;;;;XX0G19600310;Entretien général et dendrologie
20160093J0;Tacca chantrieri André;Dioscoreaceae;R.Br.;Tacca;J.R.Forst. & G.Forst.;;chantrieri;André;;;;;;;;VN0BONN25942;Entretien général et dendrologie
20150040I0;Achimenes erecta (Lam.) H.P.Fuchs;Gesneriaceae;Rich. & Juss.;Achimenes;P.Browne;;erecta;(Lam.) H.P.Fuchs;;;;;;;;0G20150040;Serres
19810174I1;Brassica napus L.;Brassicaceae;Burnett;Brassica;L.;;napus;L.;;;;;;;;XX0G19810174;Entretien général et dendrologie
19810285I1;Mentha ×piperita L.;Lamiaceae;Martinov;Mentha;L.;;×piperita;L.;VRAI;;;;;;;XX0G19810285;Entretien général et dendrologie
19810538I1;Papaver somniferum L.;Papaveraceae;Juss.;Papaver;L.;;somniferum;L.;;;;;;;;XX0G19810538;Entretien général et dendrologie
20160092J0;Capsicum annuum L. var. annuum  'Sweet Turkish';Solanaceae;Adans.;Capsicum;L.;;annuum;L.;;annuum;L.;;;;Sweet Turkish;XX0BONN26182;Entretien général et dendrologie
19810158I3;Urtica dioica L.;Urticaceae;Juss.;Urtica;L.;;dioica;L.;;;;;;;;XX0G19810158;Entretien général et dendrologie
19906128N1;Rumex acetosa L.;Polygonaceae;Juss.;Rumex;L.;;acetosa;L.;;;;;;;;FR0G19906128;Entretien général et dendrologie
19810201I1;Papaver rhoeas L.;Papaveraceae;Juss.;Papaver;L.;;rhoeas;L.;;;;;;;;XX0G19810201;Entretien général et dendrologie
20151276N0;Drymonia serrulata (Jacq.) Mart.;Gesneriaceae;Rich. & Juss.;Drymonia;Mart.;;serrulata;(Jacq.) Mart.;;;;;;;;PE0M20030725;Serres
20151278C0;Vanhouttea Lem.;Gesneriaceae;Rich. & Juss.;Vanhouttea;Lem.;;;;;;;;;;;BR0G20151278;Serres
19810195I1;Glycyrrhiza glabra L.;Fabaceae;Juss.;Glycyrrhiza;Tourn. ex L.;;glabra;L.;;;;;;;;XX0G19810195;Entretien général et dendrologie
20160089J0;Lagenaria siceraria (Molina) Standl.  'Weinheber';Cucurbitaceae;Juss.;Lagenaria;Ser.;;siceraria;(Molina) Standl.;;;;;;;Weinheber;XX0BONN31721;Entretien général et dendrologie
20160091J0;Capsicum annuum L. var. annuum  'Schwarze Ungarische';Solanaceae;Adans.;Capsicum;L.;;annuum;L.;;annuum;L.;;;;Schwarze Ungarische;XX0BONN32872;Entretien général et dendrologie
19800258I1;Indigofera gerardiana Baker;Fabaceae;Juss.;Indigofera;L.;;gerardiana;Baker;;;;;;;;XX0G19800258;Entretien général et dendrologie
19810164I1;Carthamus tinctorius L.;Asteraceae;Giseke;Carthamus;L.;;tinctorius;L.;;;;;;;;XX0G19810164;Entretien général et dendrologie
19800469I2;Quercus rubra L.;Fagaceae;Dumort.;Quercus;L.;;rubra;L.;;;;;;;;XX0G19800469;Rocailles
20150837C0;Daphne caucasica Pall.;Thymelaeaceae;Juss.;Daphne;L.;;caucasica;Pall.;;;;;;;;TR0G20150837;Rocailles
20120391J2;Vitis vinifera L.  'Oberlin';Vitaceae;Juss.;Vitis;L.;;vinifera;L.;;;;;;;Oberlin;XX0G20120391;Entretien général et dendrologie
20160085N0;Ampelodesmos mauritanicus (Poir.) T.Durand & Schinz;Poaceae;Barnhart;Ampelodesmos;Link;;mauritanicus;(Poir.) T.Durand & Schinz;;;;;;;;ES0BONN37560;Rocailles
20150057I0;Aeschynanthus radicans Jack;Gesneriaceae;Rich. & Juss.;Aeschynanthus;Jack;;radicans;Jack;;;;;;;;0G20150057;Serres
20151232N0;Romulea Maratti;Iridaceae;Juss.;Romulea;Maratti;;;;;;;;;;;MA0G20151232;Rocailles
20070026J1;Simmondsia chinensis (Link) C.K.Schneid.;Simmondsiaceae;Tiegh.;Simmondsia;Nutt.;;chinensis;(Link) C.K.Schneid.;;;;;;;;XX0G20070026;Entretien général et dendrologie
20151279N0;Anagyris foetida L.;Fabaceae;Juss.;Anagyris;L.;;foetida;L.;;;;;;;;MA0G20151279;Rocailles
20151199N0;Urginea maritima (L.) Baker;Asphodelaceae;Juss.;Urginea;in temporaria WFO;;maritima;(L.) Baker;;;;;;;;MA0G20151199;Rocailles
20151234N0;Gagea algeriensis Chabert;Liliaceae;Juss.;Gagea;Salisb.;;algeriensis;Chabert;;;;;;;;MA0G20151234;Rocailles
20151201N0;Allium L.;Amaryllidaceae;J.St.-Hil.;Allium;L.;;;;;;;;;;;MA0G20151201;Rocailles
20151270N0;Mentha longifolia × spicata ?;Lamiaceae;Martinov;Mentha;L.;;longifolia × spicata;?;VRAI;;;;;;;MA0G20151270;Rocailles
20151236N0;Echium spinescens Medik.;Boraginaceae;Juss.;Echium;L.;;spinescens;Medik.;;;;;;;;MA0G20151236;Rocailles
20151200N0;Sedum sediforme (Jacq.) Pau;Crassulaceae;J.St.-Hil.;Sedum;L.;;sediforme;(Jacq.) Pau;;;;;;;;MA0G20151200;Rocailles
20151203N0;Centaurea maroccana Ball;Asteraceae;Giseke;Centaurea;L.;;maroccana;Ball;;;;;;;;MA0G20151203;Rocailles
20151235N0;Sedum acre subsp. neglectum (Ten.) Arcang.;Crassulaceae;J.St.-Hil.;Sedum;L.;;acre;L.;;neglectum;(Ten.) Arcang.;;subsp.;;;MA0G20151235;Rocailles
20151229N0;Sedum album L.;Crassulaceae;J.St.-Hil.;Sedum;L.;;album;L.;;;;;;;;MA0G20151229;Rocailles
20151225N0;Sanguisorba verrucosa (Link ex G.Don) Ces.;Rosaceae;Juss.;Sanguisorba;L.;;verrucosa;(Link ex G.Don) Ces.;;;;;;;;MA0G20151225;Rocailles
20151268N0;Carthamus rhaponticoides (Pomel) Greuter;Asteraceae;Giseke;Carthamus;L.;;rhaponticoides;(Pomel) Greuter;;;;;;;;MA0G20151268;Rocailles
20151231N0;Ornithogalum algeriense subsp. atlanticum (Ball) Moret;Asparagaceae;Juss.;Ornithogalum;L.;;algeriense;Jord. & Fourr.;;atlanticum;(Ball) Moret;;subsp.;;;MA0G20151231;Rocailles
20151265N0;Centaurea pullata L.;Asteraceae;Giseke;Centaurea;L.;;pullata;L.;;;;;;;;MA0G20151265;Rocailles
20151266N0;Plantago coronopus L.;Plantaginaceae;Juss.;Plantago;L.;;coronopus;L.;;;;;;;;MA0G20151266;Rocailles
20151228N0;Sedum dasyphyllum var. glanduliferum (Guss.) Moris;Crassulaceae;J.St.-Hil.;Sedum;L.;;dasyphyllum;L.;;glanduliferum;(Guss.) Moris;;var.;;;MA0G20151228;Rocailles
20151227N0;Sedum L.;Crassulaceae;J.St.-Hil.;Sedum;L.;;;;;;;;;;;MA0G20151227;Rocailles
20160471N0;Allium oleraceum L.;Amaryllidaceae;J.St.-Hil.;Allium;L.;;oleraceum;L.;;;;;;;;DE0BHU20150821;Rocailles
20160548N0;Peucedanum alsaticum L.;Apiaceae;Lindl.;Peucedanum;L.;;alsaticum;L.;;;;;;;;HU0G20160548;Rocailles
20160488N0;Ballota nigra L.;Lamiaceae;Martinov;Ballota;L.;;nigra;L.;;;;;;;;DE0BHU20140540;Rocailles
20160481N0;Berteroa incana (L.) DC.;Brassicaceae;Burnett;Berteroa;DC.;;incana;(L.) DC.;;;;;;;;DE0BHU20150772;Rocailles
20160477N0;Falcaria vulgaris Bernh.;Apiaceae;Lindl.;Falcaria;Fabr.;;vulgaris;Bernh.;;;;;;;;DE0BHU20150778;Rocailles
20160643J0;Eryngium eburneum Decne.;Apiaceae;Lindl.;Eryngium;L.;;eburneum;Decne.;;;;;;;;XX0G20160643;Rocailles
20160640J0;Iris missouriensis Nutt.;Iridaceae;Juss.;Iris;L.;;missouriensis;Nutt.;;;;;;;;XX0G20160640;Rocailles
20160648J0;Euphorbia nereidum Jahand. & Maire;Euphorbiaceae;Juss.;Euphorbia;L.;;nereidum;Jahand. & Maire;;;;;;;;XX0G20160648;Rocailles
20160644J0;Onosma echioides L.;Boraginaceae;Juss.;Onosma;L.;;echioides;L.;;;;;;;;XX0G20160644;Rocailles
20160645J0;Onosma stellulata Waldst. & Kit.;Boraginaceae;Juss.;Onosma;L.;;stellulata;Waldst. & Kit.;;;;;;;;XX0G20160645;Rocailles
20160649J0;Gentiana gelida M.Bieb.;Gentianaceae;Juss.;Gentiana;L.;;gelida;M.Bieb.;;;;;;;;XX0G20160649;Rocailles
20160478N0;Anthemis arvensis L.;Asteraceae;Giseke;Anthemis;L.;;arvensis;L.;;;;;;;;DE0BHU20140484;Rocailles
20160465N0;Cerastium alpinum L.;Caryophyllaceae;Juss.;Cerastium;L.;;alpinum;L.;;;;;;;;IS0G20160465;Rocailles
20160636N0;Teucrium hircanicum L.;Lamiaceae;Martinov;Teucrium;L.;;hircanicum;L.;;;;;;;;FR0G20160636;Rocailles
20160638J0;Narcissus papyraceus subsp. polyanthus (Loisel.) Asch. & Graebn.;Amaryllidaceae;J.St.-Hil.;Narcissus;L.;;papyraceus;Ker Gawl.;;polyanthus;(Loisel.) Asch. & Graebn.;;subsp.;;;XX0G20160638;Rocailles
20160670C0;Aquilegia ecalcarata Maxim.;Ranunculaceae;Juss.;Aquilegia;L.;;ecalcarata;Maxim.;;;;;;;;CN0G20160670;Rocailles
20160630N0;Artemisia campestris L.;Asteraceae;Giseke;Artemisia;L.;;campestris;L.;;;;;;;;FR0G20160630;Rocailles
20160678J0;Senna alexandrina Mill.;Fabaceae;Juss.;Senna;Mill.;;alexandrina;Mill.;;;;;;;;XX0G20160678;Entretien général et dendrologie
20160967N0;Aloe yemenica J.R.I.Wood;Asphodelaceae;Juss.;Aloe;L.;;yemenica;J.R.I.Wood;;;;;;;;YE0G20160967;Serres
20160681C0;Boswellia sacra Flück.;Burseraceae;Kunth;Boswellia;Roxb.;;sacra;Flück.;;;;;;;;OM0BAS42403;Entretien général et dendrologie
20160653J0;Digitalis viridiflora Lindl.;Plantaginaceae;Juss.;Digitalis;Tourn. ex L.;;viridiflora;Lindl.;;;;;;;;XX0G20160653;Rocailles
20160973J0;Aeonium manriqueorum Bolle;Crassulaceae;J.St.-Hil.;Aeonium;Webb & Berthel.;;manriqueorum;Bolle;;;;;;;;XX0G20160973;Serres
20160976J0;Aeonium canariense var. virgineum (Christ) H.-Y. Liu;Crassulaceae;J.St.-Hil.;Aeonium;Webb & Berthel.;;canariense;(L.) Webb & Berthel.;;virgineum;(Christ) H.-Y. Liu;;var.;;;XX0G20160976;Serres
20120578N1;Eurya japonica Thunb.;Pentaphylacaceae;Engl.;Eurya;Thunb.;;japonica;Thunb.;;;;;;;;JP0G20120578;Entretien général et dendrologie
20160977J0;Greenovia diplocycla Bolle;Crassulaceae;J.St.-Hil.;Greenovia;Webb & Berthel.;;diplocycla;Bolle;;;;;;;;XX0G20160977;Serres
20160974J0;Aeonium mascaense Bramwell;Crassulaceae;J.St.-Hil.;Aeonium;Webb & Berthel.;;mascaense;Bramwell;;;;;;;;XX0G20160974;Serres
20160965N0;Aloe ukambensis Reynolds;Asphodelaceae;Juss.;Aloe;L.;;ukambensis;Reynolds;;;;;;;;KE0G20160965;Serres
20160958N0;Agave gypsophila Gentry;Asparagaceae;Juss.;Agave;L.;;gypsophila;Gentry;;;;;;;;MX0G20160958;Serres
20160978J0;Euphorbia bourgaeana J.Gay ex Boiss.;Euphorbiaceae;Juss.;Euphorbia;L.;;bourgaeana;J.Gay ex Boiss.;;;;;;;;XX0G20160978;Serres
20160964J0;Aloe tenuior var. rubriflora Reynolds;Asphodelaceae;Juss.;Aloe;L.;;tenuior;Haw.;;rubriflora;Reynolds;;var.;;;XX0G20160964;Serres
20161040J0;Dendrobium ×delicatum (F.M.Bailey) F.M.Bailey;Orchidaceae;Juss.;Dendrobium;Sw.;;×delicatum;(F.M.Bailey) F.M.Bailey;VRAI;;;;;;;XX0BAS621989GP;Serres
20161091C0;Eria Lindl.;Orchidaceae;Juss.;Eria;Lindl.;;;;;;;;;;;BT0BAS21872001WP;Serres
20161039J0;Dendrobium ×delicatum (F.M.Bailey) F.M.Bailey;Orchidaceae;Juss.;Dendrobium;Sw.;;×delicatum;(F.M.Bailey) F.M.Bailey;VRAI;;;;;;;XX0BAS621989GP;Serres
20161097I0;Tragopogon porrifolius subsp. australis (Jord.) Nyman;Asteraceae;Giseke;Tragopogon;L.;;porrifolius;L.;;australis;(Jord.) Nyman;;subsp.;;;XX020161097;Rocailles
19957068J2;Crassula setulosa var. curta (N.E.Br.) Schönland;Crassulaceae;J.St.-Hil.;Crassula;L.;;setulosa;Harv.;;curta;(N.E.Br.) Schönland;;var.;;;XX0G19957068;Rocailles
20161087J0;Eucrosia aurantiaca (Baker) Pax;Amaryllidaceae;J.St.-Hil.;Eucrosia;in Genres NCU;;aurantiaca;(Baker) Pax;;;;;;;;XX0BAS682000GP;Serres
20161061J0;Aeschynanthus radicans Jack;Gesneriaceae;Rich. & Juss.;Aeschynanthus;Jack;;radicans;Jack;;;;;;;;XX0G20161061;Serres
20161098J0;Fuchsia splendens Zucc.;Onagraceae;Juss.;Fuchsia;L.;;splendens;Zucc.;;;;;;;;XX0BAS32014GP;Serres
20161060J0;Aeschynanthus longicaulis R.Br.;Gesneriaceae;Rich. & Juss.;Aeschynanthus;Jack;;longicaulis;R.Br.;;;;;;;;XX0G20161060;Serres
20161069J0;Erythroxylum novogranatense (Morris) Hieron.;Erythroxylaceae;Kunth;Erythroxylum;P.Browne;;novogranatense;(Morris) Hieron.;;;;;;;;XX0BAS13511930UU;Serres
20161037J0;Chelonistele sulphurea (Blume) Pfitzer;Orchidaceae;Juss.;Chelonistele;Pfitzer;;sulphurea;(Blume) Pfitzer;;;;;;;;TH0BAS13061996WP;Serres
20161036J0;Coelogyne lentiginosa Lindl.;Orchidaceae;Juss.;Coelogyne;Lindl.;;lentiginosa;Lindl.;;;;;;;;TH0BAS15251996WP;Serres
20161042J0;Arpophyllum spicatum Lex.;Orchidaceae;Juss.;Arpophyllum;Lex.;;spicatum;Lex.;;;;;;;;XX0BAS18341999GP;Serres
20161086J0;Grammatophyllum scriptum (L.) Blume;Orchidaceae;Juss.;Grammatophyllum;Blume;;scriptum;(L.) Blume;;;;;;;;XX0BAS4902003GP;Serres
20140252J2;Trichostigma peruvianum (Moq.) H.Walter;Petiveriaceae;C.Agardh;Trichostigma;A.Rich.;;peruvianum;(Moq.) H.Walter;;;;;;;;XX0G20140252;Serres
20161035J0;Coelogyne pulverula Teijsm. & Binn.;Orchidaceae;Juss.;Coelogyne;Lindl.;;pulverula;Teijsm. & Binn.;;;;;;;;XX0BAS8652005GP;Serres
19700718I3;Hemigraphis repanda (L.) Hallier f.;Acanthaceae;Juss.;Hemigraphis;Nees;;repanda;(L.) Hallier f.;;;;;;;;XX0G19700718;Serres
19700895I1;Rhynchoglossum gardneri W.L.Theob. & Grupe;Gesneriaceae;Rich. & Juss.;Rhynchoglossum;Blume;;gardneri;W.L.Theob. & Grupe;;;;;;;;XX0G19700895;Serres
20160097N0;Aster altaicus Willd.;Asteraceae;Giseke;Aster;L.;;altaicus;Willd.;;;;;;;;IR0G20160097;Rocailles
20160324N0;Stachys alopecuros (L.) Benth.;Lamiaceae;Martinov;Stachys;L.;;alopecuros;(L.) Benth.;;;;;;;;AT0KL2015/3635;Rocailles
20160211N0;Betula nana L.;Betulaceae;Gray;Betula;L.;;nana;L.;;;;;;;;IS0REYK2013005;Rocailles
20160205N0;Buphthalmum salicifolium L.;Asteraceae;Giseke;Buphthalmum;L.;;salicifolium;L.;;;;;;;;AT0GZU15241;Rocailles
20160345J0;Amaranthus cruentus L.;Amaranthaceae;Juss.;Amaranthus;L.;;cruentus;L.;;;;;;;;XX0G20160345;Entretien général et dendrologie
20160330N0;Pulsatilla nigricans Stork;Ranunculaceae;Juss.;Pulsatilla;Mill.;;nigricans;Stork;;;;;;;;AT0KL2015/3540;Rocailles
20160334J0;Rhodiola kirilowii (Regel) Maxim.;Crassulaceae;J.St.-Hil.;Rhodiola;L.;;kirilowii;(Regel) Maxim.;;;;;;;;XX0KL2012/997;Rocailles
20160307N2;Schivereckia podolica (Besser) DC.;Brassicaceae;Burnett;Schivereckia;in Genres NCU;;podolica;(Besser) DC.;;;;;;;;RU0G20160307;Rocailles
20160318N0;Knautia carinthiaca Ehrend.;Caprifoliaceae;Juss.;Knautia;L.;;carinthiaca;Ehrend.;;;;;;;;AT0KL2015/3688;Rocailles
20151254N0;Sedum L.;Crassulaceae;J.St.-Hil.;Sedum;L.;;;;;;;;;;;MA0G20151254;Rocailles
20151259N0;Alyssum spinosum L.;Brassicaceae;Burnett;Alyssum;L.;;spinosum;L.;;;;;;;;MA0G20151259;Rocailles
20160353N0;Hieracium sabaudum L.;Asteraceae;Giseke;Hieracium;L.;;sabaudum;L.;;;;;;;;AT0SZU2015147;Rocailles
20151221N0;Sedum L.;Crassulaceae;J.St.-Hil.;Sedum;L.;;;;;;;;;;;MA0G20151221;Rocailles
20151260N0;Carex hordeistichos Vill.;Cyperaceae;Juss.;Carex;L.;;hordeistichos;Vill.;;;;;;;;MA0G20151260;Rocailles
19810271I1;Allium sativum L.;Amaryllidaceae;J.St.-Hil.;Allium;L.;;sativum;L.;;;;;;;;XX0G19810271;Entretien général et dendrologie
20151253N0;Sedum L.;Crassulaceae;J.St.-Hil.;Sedum;L.;;;;;;;;;;;MA0G20151253;Rocailles
20121318S0;Cleistogenes serotina (L.) Keng;Poaceae;;Cleistogenes;;;serotina;;;;;;;;;CH0BERN2011236;Conservation
20160142N0;Albuca humilis Baker;Asparagaceae;Juss.;Albuca;L.;;humilis;Baker;;;;;;;;ZA0G20160142;Rocailles
20160138N0;Alcea rugosa Alef.;Malvaceae;Juss.;Alcea;L.;;rugosa;Alef.;;;;;;;;RU0G20160138;Rocailles
20160182N0;Vaccinium macrocarpon Aiton;Ericaceae;Juss.;Vaccinium;L.;;macrocarpon;Aiton;;;;;;;;US0G20160182;Entretien général et dendrologie
