Numéro de spécimen cultivé;Détermination acceptée;famille;Familie Citation d'auteurs;genre;Genre Citation d'auteurs;Genre Hybride;espece;Espèce Citation d'auteurs;Espèce Hybride;Sous-espèce;Sous-espèce Citation d'auteurs;Sous-espèce Hybride;Rang taxonomique;Citation d'auteurs;Cultivar;Code ipen;Secteur
19783328I0;Butomus umbellatus L.;Butomaceae;Mirb.;Butomus;L.;;umbellatus;L.;;;;;;;;XX0G19783328;Rocailles
19783323I0;Primula rosea Royle;Primulaceae;Batsch ex Borkh.;Primula;L.;;rosea;Royle;;;;;;;;XX0G19783323;Rocailles
19783318I0;Pontederia cordata L.;Pontederiaceae;Kunth;Pontederia;L.;;cordata;L.;;;;;;;;XX0G19783318;Rocailles
19783311I0;Alisma plantago-aquatica L.;Alismataceae;Vent.;Alisma;L.;;plantago-aquatica;L.;;;;;;;;XX0G19783311;Rocailles
19783312I0;Acorus calamus L.;Acoraceae;Martinov;Acorus;L.;;calamus;L.;;;;;;;;XX0G19783312;Rocailles
20110047N0;Senecio alpinus (L.) Scop.;Asteraceae;Giseke;Senecio;L.;;alpinus;(L.) Scop.;;;;;;;;IT0G20110047;Rocailles
19783330I0;Myriophyllum aquaticum (Vell.) Verdc.;Haloragaceae;R.Br.;Myriophyllum;L.;;aquaticum;(Vell.) Verdc.;;;;;;;;XX0G19783330;Rocailles
19783310I0;Lythrum salicaria L.;Lythraceae;J.St.-Hil.;Lythrum;L.;;salicaria;L.;;;;;;;;XX0G19783310;Rocailles
19810024I0;Atraphaxis pyrifolia Bunge;Polygonaceae;Juss.;Atraphaxis;L.;;pyrifolia;Bunge;;;;;;;;XX0G19810024;Rocailles
19810430I0;Danae racemosa (L.) Moench;Asparagaceae;Juss.;Danae;Medik.;;racemosa;(L.) Moench;;;;;;;;XX0G19810430;Agriculture et Conservation
19810455I0;Adiantum pedatum L.;Pteridaceae;E.D.M.Kirchn.;Adiantum;L.;;pedatum;L.;;;;;;;;XX0G19810455;Rocailles
19783401I0;Cardamine pentaphyllos (L.) Crantz;Brassicaceae;Burnett;Cardamine;L.;;pentaphyllos;(L.) Crantz;;;;;;;;XX0G19783401;Rocailles
19810422I0;Inula ensifolia L.  'Compacta';Asteraceae;Giseke;Inula;L.;;ensifolia;L.;;;;;;;Compacta;XX0G19810422;Agriculture et Conservation
19810432I0;Iris sibirica L.;Iridaceae;Juss.;Iris;L.;;sibirica;L.;;;;;;;;XX0G19810432;Agriculture et Conservation
19782837N0;Scilla bifolia L.;Asparagaceae;Juss.;Scilla;L.;;bifolia;L.;;;;;;;;CH0G19782837;Rocailles
19916422N0;Alyssum sibiricum Willd.;Brassicaceae;Burnett;Alyssum;L.;;sibiricum;Willd.;;;;;;;;GR0G19916422;Rocailles
19881213J0;Podophyllum peltatum L.;Berberidaceae;Juss.;Podophyllum;L.;;peltatum;L.;;;;;;;;XX0G19881213;Rocailles
19881279N0;Libertia ixioides (G.Forst.) Spreng.;Iridaceae;Juss.;Libertia;Spreng.;;ixioides;(G.Forst.) Spreng.;;;;;;;;NZ0G19881279;Rocailles
19860226J0;Ormenis nobilis (L.) J.Gay ex Coss. & Germ.;Asteraceae;Giseke;Ormenis;Cass.;;nobilis;(L.) J.Gay ex Coss. & Germ.;;;;;;;;XX0G19860226;Entretien général et dendrologie
19916423N0;Draba lasiocarpa Rochel;Brassicaceae;Burnett;Draba;L.;;lasiocarpa;Rochel;;;;;;;;GR0G19916423;Rocailles
19800180I1;Thujopsis dolabrata (L. f.) Siebold & Zucc.  'Nana';Cupressaceae;Gray;Thujopsis;Endl.;;dolabrata;(L. f.) Siebold & Zucc.;;;;;;;Nana;XX0G19800180;Entretien général et dendrologie
19926011N0;Cotinus coggygria Scop.;Anacardiaceae;R.Br.;Cotinus;Mill.;;coggygria;Scop.;;;;;;;;AT0G19926011;Rocailles
19860640N0;Acaena inermis Hook.f.;Rosaceae;Juss.;Acaena;Mutis ex L.;;inermis;Hook.f.;;;;;;;;NZ0G19860640;Rocailles
20110038N0;Digitalis laevigata Waldst. & Kit.;Plantaginaceae;Juss.;Digitalis;Tourn. ex L.;;laevigata;Waldst. & Kit.;;;;;;;;IT0G20110038;Rocailles
20110052N0;Verbascum longifolium Ten.;Scrophulariaceae;Juss.;Verbascum;L.;;longifolium;Ten.;;;;;;;;IT0G20110052;Rocailles
19916584N0;Aconitum lycoctonum subsp. vulparia (Rchb.) Nyman;Ranunculaceae;Juss.;Aconitum;L.;;lycoctonum;L.;;vulparia;(Rchb.) Nyman;;subsp.;;;CH-0-G-19916584;Rocailles
19783334J0;Iris bucharica Foster;Iridaceae;Juss.;Iris;L.;;bucharica;Foster;;;;;;;;XX0G19783334;Rocailles
19783332I0;Potentilla fruticosa var. pumila Hook.f.;Rosaceae;Juss.;Potentilla;L.;;fruticosa;L.;;pumila;Hook.f.;;var.;;;XX0G19783332;Rocailles
19783361J0;Equisetum scirpoides Michx.;Equisetaceae;Michx. ex DC.;Equisetum;L.;;scirpoides;Michx.;;;;;;;;XX0G19783361;Rocailles
19783347I0;Lathyrus alpestris (Waldst. & Kit.) Rchb.;Fabaceae;Juss.;Lathyrus;L.;;alpestris;(Waldst. & Kit.) Rchb.;;;;;;;;XX0G19783347;Rocailles
19841753N0;Lycium barbarum L.;Solanaceae;Adans.;Lycium;L.;;barbarum;L.;;;;;;;;XX0G19841753;Rocailles
19916618I0;Artemisia vulgaris L.;Asteraceae;Giseke;Artemisia;L.;;vulgaris;L.;;;;;;;;XX0G19916618;Rocailles
19800256I1;Rosa roxburghii f. hort. hort.;Rosaceae;Juss.;Rosa;L.;;roxburghii;Tratt.;;hort.;hort.;;f.;;;XX0G19800256;Entretien général et dendrologie
19860956J0;Hypericum dyeri Rehder;Hypericaceae;Juss.;Hypericum;Tourn. ex L.;;dyeri;Rehder;;;;;;;;XX-0-G-19860956;Rocailles
20110334N0;Leucanthemum atratum (Jacq.) DC.;Asteraceae;Giseke;Leucanthemum;Mill.;;atratum;(Jacq.) DC.;;;;;;;;AT0GZU09232;Rocailles
19783187I0;Ruscus hypoglossum L.;Asparagaceae;Juss.;Ruscus;L.;;hypoglossum;L.;;;;;;;;XX0G19783187;Rocailles
19783195I0;Knautia drymeia Heuff.;Caprifoliaceae;Juss.;Knautia;L.;;drymeia;Heuff.;;;;;;;;XX0G19783195;Rocailles
19783194I0;Carex distachya Desf.;Cyperaceae;Juss.;Carex;L.;;distachya;Desf.;;;;;;;;XX0G19783194;Rocailles
19783193I0;Teucrium lucidum L.;Lamiaceae;Martinov;Teucrium;L.;;lucidum;L.;;;;;;;;XX0G19783193;Rocailles
19783199N0;Euphorbia hyberna subsp. insularis (Boiss.) Briq.;Euphorbiaceae;Juss.;Euphorbia;L.;;hyberna;L.;;insularis;(Boiss.) Briq.;;subsp.;;;FR0G19783199;Rocailles
19783198I0;Scilla autumnalis var. gracillima Batt.;Asparagaceae;Juss.;Scilla;L.;;autumnalis;L.;;gracillima;Batt.;;var.;;;XX0G19783198;Rocailles
19916636N0;Luzula nutans (Vill.) Duval-Jouve;Juncaceae;Juss.;Luzula;DC.;;nutans;(Vill.) Duval-Jouve;;;;;;;;FR0G19916636;Rocailles
19783356I0;Glyceria maxima (Hartm.) Holmb.  'Variegata';Poaceae;Barnhart;Glyceria;R.Br.;;maxima;(Hartm.) Holmb.;;;;;;;Variegata;XX0G19783356;Rocailles
19861021J0;Leptinella potentillina F.Muell.;Asteraceae;Giseke;Leptinella;Cass.;;potentillina;F.Muell.;;;;;;;;XX0G19861021;Rocailles
19870455N0;Teucrium flavum L.;Lamiaceae;Martinov;Teucrium;L.;;flavum;L.;;;;;;;;SI0G19870455;Rocailles
19870022N0;Rosa macrophylla Lindl.;Rosaceae;Juss.;Rosa;L.;;macrophylla;Lindl.;;;;;;;;NP0G19870022;Rocailles
19783209I0;Saponaria sicula Raf.;Caryophyllaceae;Juss.;Saponaria;L.;;sicula;Raf.;;;;;;;;XX0G19783209;Rocailles
19600273I1;Osmunda regalis L.;Osmundaceae;Martinov;Osmunda;L.;;regalis;L.;;;;;;;;XX0G19600273;Entretien général et dendrologie
19783232I0;Sedum hybridum L.;Crassulaceae;J.St.-Hil.;Sedum;L.;;hybridum;L.;;;;;;;;XX0G19783232;Rocailles
19783226I0;Thalictrum minus L.;Ranunculaceae;Juss.;Thalictrum;L.;;minus;L.;;;;;;;;XX0G19783226;Rocailles
19783237I0;Limonium latifolium Kuntze;Plumbaginaceae;Juss.;Limonium;Mill.;;latifolium;Kuntze;;;;;;;;XX0G19783237;Rocailles
19783236I0;Cirsium monspessulanum (L.) Hill;Asteraceae;Giseke;Cirsium;Mill.;;monspessulanum;(L.) Hill;;;;;;;;XX0G19783236;Rocailles
19783215N0;Allium roseum L.;Amaryllidaceae;J.St.-Hil.;Allium;L.;;roseum;L.;;;;;;;;FR0G19783215;Rocailles
19783234I0;Aubrieta deltoidea (L.) DC.;Brassicaceae;Burnett;Aubrieta;Adans.;;deltoidea;(L.) DC.;;;;;;;;XX0G19783234;Rocailles
20100114N1;Artemisia santonicum L.;Asteraceae;Giseke;Artemisia;L.;;santonicum;L.;;;;;;;;AT0WUAST090738;Rocailles
19783233N0;Helleborus lividus subsp. corsicus (Briq.) Yeo;Ranunculaceae;Juss.;Helleborus;L.;;lividus;Ait. ex Curtis;;corsicus;(Briq.) Yeo;;subsp.;;;FR0G19783233;Rocailles
19917910N0;Sempervivum tectorum L.;Crassulaceae;J.St.-Hil.;Sempervivum;L.;;tectorum;L.;;;;;;;;CH0G19917910;Rocailles
19926145N0;Holcus lanatus L.;Poaceae;Barnhart;Holcus;L.;;lanatus;L.;;;;;;;;FR0G19926145;Rocailles
19926146N0;Ranunculus gramineus L.;Ranunculaceae;Juss.;Ranunculus;L.;;gramineus;L.;;;;;;;;FR0G19926146;Rocailles
19783252I0;Phillyrea angustifolia L.;Oleaceae;Hoffmanns. & Link;Phillyrea;L.;;angustifolia;L.;;;;;;;;XX0G19783252;Rocailles
19783261I0;Sedum moranense Kunth;Crassulaceae;J.St.-Hil.;Sedum;L.;;moranense;Kunth;;;;;;;;XX0G19783261;Rocailles
19783260I0;Thymus richardii subsp. nitidus (Guss.) Jalas;Lamiaceae;Martinov;Thymus;L.;;richardii;Pers.;;nitidus;(Guss.) Jalas;;subsp.;;;XX0G19783260;Rocailles
19783249J0;Soleirolia soleirolii (Req.) Dandy;Urticaceae;Juss.;Soleirolia;Gaudich.;;soleirolii;(Req.) Dandy;;;;;;;;XX0G19783249;Rocailles
19926156N0;Daphne mezereum L.;Thymelaeaceae;Juss.;Daphne;L.;;mezereum;L.;;;;;;;;CH0G19926156;Rocailles
19783250I0;Hyacinthoides italica (L.) Rothm.;Asparagaceae;Juss.;Hyacinthoides;Heist. ex Fabr.;;italica;(L.) Rothm.;;;;;;;;XX0G19783250;Rocailles
19783245I0;Geum ×tyrolense A. Kern.;Rosaceae;Juss.;Geum;L.;;×tyrolense;A. Kern.;VRAI;;;;;;;XX0G19783245;Rocailles
19831449N0;Eryngium campestre L.;Apiaceae;Lindl.;Eryngium;L.;;campestre;L.;;;;;;;;GR0G19831449;Rocailles
19783266I0;Cymbalaria hepaticifolia (Poir.) Wettst.;Plantaginaceae;Juss.;Cymbalaria;Hill;;hepaticifolia;(Poir.) Wettst.;;;;;;;;XX0G19783266;Rocailles
19783264I0;Arabis rosea DC.;Brassicaceae;Burnett;Arabis;L.;;rosea;DC.;;;;;;;;XX0G19783264;Rocailles
19810019I0;Jasminum officinale L.;Oleaceae;Hoffmanns. & Link;Jasminum;L.;;officinale;L.;;;;;;;;XX0G19810019;Rocailles
19861552N0;Minuartia laricifolia (L.) Schinz & Thell.;Caryophyllaceae;Juss.;Minuartia;L.;;laricifolia;(L.) Schinz & Thell.;;;;;;;;IT0G19861552;Rocailles
19830138N0;Hypericum corsicum Godr.;Hypericaceae;Juss.;Hypericum;L.;;corsicum;Godr.;;;;;;;;FR0G19830138;Rocailles
19810020J0;Anarrhinum bellidifolium (L.) Willd.;Plantaginaceae;Juss.;Anarrhinum;Desf.;;bellidifolium;(L.) Willd.;;;;;;;;XX0G19810020;Rocailles
19783263I0;Minuartia graminifolia subsp. clandestina (Port.) Mattf.;Caryophyllaceae;Juss.;Minuartia;Loefl.;;graminifolia;Javorka;;clandestina;(Port.) Mattf.;;subsp.;;;XX0G19783263;Rocailles
