Is Dead;Accession Number;Catalogue Number;Accepted Name;TaxonomicName;Genus;Family;Provenance Code;Legacy Provenance Code;Country ISO;Last Seen On
ALIVE;2020-1004;K:LCD-2020-1004*2;Sonchus canariensis subsp. orotavensis;Sonchus canariensis subsp. orotavensis;Sonchus;Asteraceae;;;;03-10-2024
ALIVE;1969-17830;K:LCD-1969-17830*1;Encephalartos lehmannii;Encephalartos lehmannii;Encephalartos;Zamiaceae;;;;14-02-2024
ALIVE;1989-3466;K:LCD-1989-3466*5;Fuchsia arborescens;Fuchsia arborescens;Fuchsia;Onagraceae;;;;09-01-2025
ALIVE;1990-1263;K:LCD-1990-1263*1;Grewia occidentalis;Grewia occidentalis;Grewia;Malvaceae;;;;20-09-2023
ALIVE;1995-258;K:LCD-1995-258*2;Holocalyx balansae;Holocalyx balansae;Holocalyx;Fabaceae;;N - Natural Source and Progeny;Paraguay;25-01-2024
ALIVE;1986-3626;K:LCD-1986-3626*1;Piper excelsum;Macropiper excelsum;Macropiper;Piperaceae;;;New Zealand;09-07-2024
ALIVE;1957-38207;K:LCD-1957-38207*1;Radermachera sinica;Radermachera sinica;Radermachera;Bignoniaceae;;;;22-05-2024
ALIVE;1999-3835;K:LCD-1999-3835*3;Acrodon bellidiflorus;Acrodon bellidiflorus;Acrodon;Aizoaceae;;;South Africa;08-02-2024
ALIVE;2014-2354;K:LCD-2014-2354*2;Drosera aliciae;Drosera aliciae;Drosera;Droseraceae;;;;15-02-2024
ALIVE;1987-2750;K:LCD-1987-2750*2;Hypericum kouytchense;Hypericum kouytchense;Hypericum;Hypericaceae;;;China;24-05-2024
ALIVE;2012-556;K:LCD-2012-556*2;Lavandula pinnata;Lavandula pinnata;Lavandula;Lamiaceae;;;Spain;23-03-2024
ALIVE;1984-4363;K:LCD-1984-4363*1;Melaleuca squarrosa;Melaleuca squarrosa;Melaleuca;Myrtaceae;;N - Natural Source and Progeny;Australia;17-10-2023
ALIVE;2008-1785;K:LCD-2008-1785*1;Erica verticillata;Erica verticillata;Erica;Ericaceae;;N - Natural Source and Progeny;;09-01-2025
ALIVE;1979-64;K:LCD-1979-64*3;Rhododendron × sesterianum;Rhododendron × fragrantissimum;Rhododendron;Ericaceae;;;;20-11-2023
ALIVE;1982-1172;K:LCD-1982-1172*2;Iochroma calycinum;Iochroma calycinum;Iochroma;Solanaceae;;N - Natural Source and Progeny;Ecuador;29-05-2024
ALIVE;1996-4617;K:LCD-1996-4617*1;Rhododendron maddenii;Rhododendron maddenii;Rhododendron;Ericaceae;;;;24-05-2024
ALIVE;1990-1265;K:LCD-1990-1265*1;Halleria lucida;Halleria lucida;Halleria;Stilbaceae;;N - Natural Source and Progeny;South Africa;21-08-2023
ALIVE;2000-1493;K:LCD-2000-1493*4;Correa alba;Correa alba;Correa;Rutaceae;;;;28-12-2024
ALIVE;1972-6003;K:LCD-1972-6003*2;Polygonatum oppositifolium;Polygonatum oppositifolium;Polygonatum;Asparagaceae;;N - Natural Source and Progeny;India;17-10-2023
ALIVE;1966-54306;K:LCD-1966-54306*2;Kniphofia linearifolia;Kniphofia linearifolia;Kniphofia;Asphodelaceae;;N - Natural Source and Progeny;South Africa;22-10-2024
ALIVE;2000-4557;K:LCD-2000-4557*1;Cordyline petiolaris;Cordyline petiolaris;Cordyline;Asparagaceae;;N - Natural Source and Progeny;Australia;28-12-2024
ALIVE;1996-526;K:LCD-1996-526*2;Magnolia compressa;Michelia compressa;Michelia;Magnoliaceae;;;;24-05-2024
ALIVE;2013-576;K:LCD-2013-576*1;Citrus hystrix;Citrus hystrix;Citrus;Rutaceae;;;;15-02-2024
ALIVE;2005-2481;K:LCD-2005-2481*4;Impatiens balansae;Impatiens balansae;Impatiens;Balsaminaceae;;;;17-10-2023
ALIVE;2005-143;K:LCD-2005-143*2;Encephalartos cerinus;Encephalartos cerinus;Encephalartos;Zamiaceae;;;;14-10-2024
ALIVE;1986-2504;K:LCD-1986-2504*1;Macrozamia moorei;Macrozamia moorei;Macrozamia;Zamiaceae;;;;17-10-2023
ALIVE;2008-1795;K:LCD-2008-1795*3;Leucadendron modestum;Leucadendron modestum;Leucadendron;Proteaceae;;N - Natural Source and Progeny;;23-08-2023
ALIVE;1965-50201;K:LCD-1965-50201*2;Iris wattii;Iris wattii;Iris;Iridaceae;;;;20-01-2025
ALIVE;1959-67001;K:LCD-1959-67001*2;Colquhounia coccinea;Colquhounia coccinea;Colquhounia;Lamiaceae;;;;20-05-2024
ALIVE;2014-2043;K:LCD-2014-2043*3;;Brugmansia 'Salmon Perfektion';Brugmansia;Solanaceae;;;;21-11-2024
ALIVE;2011-1187;K:LCD-2011-1187*2;Aloe aageodonta;Aloe aageodonta;Aloe;Asphodelaceae;;N - Natural Source and Progeny;Kenya;09-01-2025
ALIVE;2001-2735;K:LCD-2001-2735*3;Pinguicula jaumavensis;Pinguicula jaumavensis;Pinguicula;Lentibulariaceae;;;;15-02-2024
ALIVE;1964-32705;K:LCD-1964-32705*1;Oreopanax sanderianus;Oreopanax sanderianus;Oreopanax;Araliaceae;;;;25-07-2022
ALIVE;1973-12935;K:LCD-1973-12935*4;Metrosideros robusta;Metrosideros robusta;Metrosideros;Myrtaceae;;;;27-03-2024
ALIVE;1973-21110;K:LCD-1973-21110*1;;Aspidistra elatior 'Variegata';Aspidistra;Asparagaceae;;;;20-05-2024
ALIVE;2008-2003;K:LCD-2008-2003*2;Beschorneria yuccoides;Beschorneria yuccoides;Beschorneria;Asparagaceae;;;Mexico;27-11-2024
ALIVE;1997-4455;K:LCD-1997-4455*1;Ophiopogon malcolmsonii;Ophiopogon malcolmsonii;Ophiopogon;Asparagaceae;;N - Natural Source and Progeny;Thailand;21-05-2024
ALIVE;1981-1014;K:LCD-1981-1014*2;Aloe grisea;Aloe grisea;Aloe;Asphodelaceae;;N - Natural Source and Progeny;Somalia;23-06-2022
ALIVE;1995-734;K:LCD-1995-734*3;Ilex maximowicziana;Ilex triflora var. kanehirae;Ilex;Aquifoliaceae;;N - Natural Source and Progeny;Taiwan;17-10-2023
ALIVE;1986-2953;K:LCD-1986-2953*3;Dombeya acutangula;Dombeya acutangula;Dombeya;Malvaceae;;N - Natural Source and Progeny;Mauritius;14-02-2024
ALIVE;1969-3776;K:LCD-1969-3776*3;Fuchsia thymifolia subsp. minimiflora;Fuchsia thymifolia subsp. minimiflora;Fuchsia;Onagraceae;;;;11-09-2024
ALIVE;1986-2504;K:LCD-1986-2504*2;Macrozamia moorei;Macrozamia moorei;Macrozamia;Zamiaceae;;;;17-10-2023
ALIVE;1988-4333;K:LCD-1988-4333*1;Macrozamia moorei;Macrozamia moorei;Macrozamia;Zamiaceae;;N - Natural Source and Progeny;Australia;24-03-2025
ALIVE;2008-2001;K:LCD-2008-2001*3;Pittosporum undulatum;Pittosporum undulatum;Pittosporum;Pittosporaceae;;;Australia;02-01-2025
ALIVE;1961-39002;K:LCD-1961-39002*2;Brunfelsia jamaicensis;Brunfelsia jamaicensis;Brunfelsia;Solanaceae;;;;23-10-2024
