Catalogue Number;Full Name;Store Level1;Store Level2;Store Level3;Store Level4
K:LCD-1988-1774*3;Clerodendrum speciosissimum;Princess of Wales Conservatory;01;21;
K:LCD-1988-3940*1;Blechnum orientale;Princess of Wales Conservatory;04;05;
K:LCD-1969-51145*1;Anthurium crystallinum;Princess of Wales Conservatory;01;06;
K:LCD-2013-886*2;Polystichum munitum;Princess of Wales Conservatory;05;01;
K:LCD-2012-1397*2;Tectaria griffithii;Princess of Wales Conservatory;04;04;
K:LCD-2000-4221*3;Cyrtomium caryotideum;Princess of Wales Conservatory;04;07;
K:LCD-1965-62301*8;Maranta leuconeura var. leuconeura 'Fascinator';Princess of Wales Conservatory;08;01;
K:LCD-1994-2167*1;Astrocaryum mexicanum;Princess of Wales Conservatory;01;06;
K:LCD-1973-19749*3;Pseuderanthemum tricolor;Princess of Wales Conservatory;04;04;
K:LCD-1984-2365*2;Begonia echinosepala;Princess of Wales Conservatory;01;23;
K:LCD-2000-4896*2;Crassula tecta;Princess of Wales Conservatory;03;02;
K:LCD-1969-6141*3;Microgramma reptans;Princess of Wales Conservatory;04;01;
K:LCD-1982-8027*2;Neoregelia;Princess of Wales Conservatory;01;12;
K:LCD-1974-1097*1;Hohenbergia catingae;Princess of Wales Conservatory;01;15;
K:LCD-1961-34704*1;Tillandsia flabellata;Princess of Wales Conservatory;01;03;TREE
K:LCD-1958-32207*5;Ctenanthe oppenheimiana;Princess of Wales Conservatory;06;05;
K:LCD-1984-2391*3;Cephalophyllum procumbens;Princess of Wales Conservatory;03;08;
K:LCD-1963-20003*2;Peperomia griseoargentea;Princess of Wales Conservatory;01;25;
K:LCD-1947-29915*2;Gasteria carinata var. carinata;Princess of Wales Conservatory;03;01;
K:LCD-1982-1657*3;Nautilocalyx;Princess of Wales Conservatory;01;21;
K:LCD-1967-51804*2;Portea petropolitana;Princess of Wales Conservatory;01;11;
K:LCD-1969-17380*2;Spathiphyllum wallisii;Princess of Wales Conservatory;04;02;
K:LCD-1986-2702*2;Juanulloa mexicana;Princess of Wales Conservatory;01;06;
K:LCD-1965-2903*1;Dischidia bengalensis;Princess of Wales Conservatory;01;27;
K:LCD-1975-5026*2;Rhaphidophora hayi;Princess of Wales Conservatory;01;09;
K:LCD-1964-71601*1;Rhododendron goodenoughii;Princess of Wales Conservatory;02;07;
K:LCD-2008-1148*3;Cryptanthus whitmanii;Princess of Wales Conservatory;01;14;
K:LCD-1957-45007*1;Aglaonema commutatum 'Pseudobracteatum';Princess of Wales Conservatory;04;04;
K:LCD-1981-6450*3;Marattia salicina;Princess of Wales Conservatory;04;08;
K:LCD-1969-51149*2;Tillandsia tricolor;Princess of Wales Conservatory;01;03;TREE
K:LCD-2009-144*2;Alocasia wentii;Princess of Wales Conservatory;01;10;
K:LCD-2001-310*2;Epipremnum amplissimum;Princess of Wales Conservatory;01;09;T1
K:LCD-1986-5312*5;Crinum × amabile;Princess of Wales Conservatory;01;22;
K:LCD-1953-22304*4;Lonicera macrantha;Princess of Wales Conservatory;05;05;
K:LCD-1947-52501*1;Crassula multicava;Princess of Wales Conservatory;03;21;
K:LCD-1962-61103*2;Senecio barbertonicus;Princess of Wales Conservatory;03;21;
K:LCD-1954-15901*5;Stenochlaena tenuifolia;Princess of Wales Conservatory;04;11;
K:LCD-1986-4646*4;Phragmipedium Schroederae gx 'Splendens';Princess of Wales Conservatory;06;05;
K:LCD-2007-1564*1;Nypa fruticans;Princess of Wales Conservatory;01;22;
K:LCD-1981-8277*1;Pereskia aculeata 'Godseffiana';Princess of Wales Conservatory;03;18;
K:LCD-1986-8136*2;Microsorum punctatum;Princess of Wales Conservatory;04;11;
K:LCD-1979-4662*3;Kalanchoe rotundifolia;Princess of Wales Conservatory;03;02;
K:LCD-2007-1057*3;Begonia 'Silver Cloud';Princess of Wales Conservatory;01;23;
K:LCD-1969-1774*1;Peperomia clusiifolia;Princess of Wales Conservatory;01;27;
K:LCD-2001-2386*5;Blechnum moorei;Princess of Wales Conservatory;04;06;
K:LCD-1973-13787*4;Selaginella caulescens var. belulla;Princess of Wales Conservatory;04;10;
K:LCD-1973-13302*8;Cryptanthus bivittatus;Princess of Wales Conservatory;01;13;
K:LCD-1978-3549*1;Aechmea egleriana;Princess of Wales Conservatory;01;14;
K:LCD-1998-1107*1;Rhytidophyllum tomentosum;Princess of Wales Conservatory;01;21;
K:LCD-1983-2060*2;Costus spiralis var. spiralis;Princess of Wales Conservatory;01;05;
K:LCD-1981-1022*1;Cyanotis somaliensis;Princess of Wales Conservatory;03;21;
K:LCD-1948-13001*3;Marantochloa purpurea;Princess of Wales Conservatory;01;26;
K:LCD-1973-19558*3;Hemigraphis alternata;Princess of Wales Conservatory;01;25;
K:LCD-1973-728*5;Calathea bella;Princess of Wales Conservatory;01;28;
K:LCD-1964-75604*1;Scyphularia dorsalis;Princess of Wales Conservatory;04;12;
K:LCD-1959-43410*3;Philodendron auriculatum;Princess of Wales Conservatory;01;10;
K:LCD-1957-62801*1;Gasteria angustifolia;Princess of Wales Conservatory;03;06;
K:LCD-1973-20962*2;Jacobinia suberecta;Princess of Wales Conservatory;01;25;
K:LCD-1998-4001*2;Selaginella elmeri;Princess of Wales Conservatory;04;07;
K:LCD-1971-1991*5;Aglaomorpha splendens;Princess of Wales Conservatory;05;02;
K:LCD-1980-2602*1;Paphiopedilum Delrosi gx;Princess of Wales Conservatory;06;02;
K:LCD-2005-161*3;Pelargonium 'Filicifolium';Princess of Wales Conservatory;03;10;
K:LCD-2009-944*2;Conophytum minutum;Princess of Wales Conservatory;03;08;
K:LCD-2005-2361*2;Philodendron pedatum;Princess of Wales Conservatory;01;03;
K:LCD-1968-727*5;Malva canariensis;Princess of Wales Conservatory;03;13;
K:LCD-2001-4006*4;Lavandula canariensis;Princess of Wales Conservatory;03;13;
K:LCD-2000-2122*2;Lithops aucampiae var. koelemanii;Princess of Wales Conservatory;03;08;
K:LCD-1979-3225*1;Thysanolaena maxima;Princess of Wales Conservatory;01;05;
K:LCD-2000-2842*7;Anthurium bonplandii subsp. guayanum;Princess of Wales Conservatory;01;05;
K:LCD-2008-615*3;Pteris dentata;Princess of Wales Conservatory;07;03;
K:LCD-1981-1122*2;Pyrenacantha malvifolia;Princess of Wales Conservatory;03;03;
K:LCD-1999-4350*2;Anthurium palmatum;Princess of Wales Conservatory;01;04;
K:LCD-1962-44052*3;Graptopetalum paraguayense;Princess of Wales Conservatory;03;25;
K:LCD-1974-729*1;Ananas bracteatus;Princess of Wales Conservatory;01;12;
K:LCD-1963-72801*2;Strongylodon macrobotrys;Princess of Wales Conservatory;01;25;
K:LCD-1997-6111*4;Lavandula buchii var. gracilis;Princess of Wales Conservatory;03;13;
K:LCD-2002-690*2;Pachystachys lutea;Princess of Wales Conservatory;01;04;
K:LCD-2001-4512*4;Kohleria spicata;Princess of Wales Conservatory;01;21;
K:LCD-1967-69001*4;Platycerium willinckii;Princess of Wales Conservatory;08;02;
K:LCD-2000-1456*2;Globba cernua;Princess of Wales Conservatory;01;06;
K:LCD-1984-8198*1;Pinanga coronata;Princess of Wales Conservatory;04;07;
K:LCD-1986-5313*4;Alocasia cucullata;Princess of Wales Conservatory;01;06;
K:LCD-1976-6083*3;Tradescantia zanonia;Princess of Wales Conservatory;01;02;
K:LCD-2007-1261*2;Pelargonium 'Red Witch';Princess of Wales Conservatory;03;10;
K:LCD-1983-4764*2;Philodendron 'Burgundy Glow';Princess of Wales Conservatory;01;02;
K:LCD-1965-30208*3;Cotyledon tomentosa subsp. tomentosa;Princess of Wales Conservatory;03;02;
K:LCD-1990-1920*3;Haworthia viscosa;Princess of Wales Conservatory;03;02;
K:LCD-1999-3384*2;Begonia sericoneura;Princess of Wales Conservatory;01;23;
K:LCD-2011-1427*2;Rhizophora mangle;Princess of Wales Conservatory;01;22;
K:LCD-1965-6204*2;Diplazium;Princess of Wales Conservatory;06;02;
K:LCD-1981-2355*2;Calathea 'Carlina';Princess of Wales Conservatory;01;28;
K:LCD-2004-1763*2;Nymphaea 'Emily Grant Hutchings';Princess of Wales Conservatory;01;POND;
K:LCD-1971-2307*3;Lutheria splendens;Princess of Wales Conservatory;01;11;
K:LCD-1976-210*3;Thaumatococcus daniellii;Princess of Wales Conservatory;01;22;
K:LCD-1951-6001*2;Quercifilix zeilanica;Princess of Wales Conservatory;04;08;
K:LCD-1987-1534*2;Sansevieria cylindrica;Princess of Wales Conservatory;03;21;
K:LCD-2002-891*2;Aeschynanthus pulcher;Princess of Wales Conservatory;01;HB;
K:LCD-2009-2770*3;Cola gigantea;Princess of Wales Conservatory;06;05;
K:LCD-1985-4316*1;Hemiboea henryi;Princess of Wales Conservatory;05;06;
K:LCD-1983-1691*3;Anchomanes difformis;Princess of Wales Conservatory;01;10;
K:LCD-2004-152*3;Anthurium wendlingeri;Princess of Wales Conservatory;01;07;
