"Accepted.Name","Is.Dead","Accession.Number","Catalogue.Number","TaxonomicName","Genus","Family","Provenance.Code","Legacy.Provenance.Code","Country.ISO","Last.Seen.On","target"
"Arthrocereus rondonianus","ALIVE","2023-1148","K:LCD-2023-1148*1","Arthrocereus rondonianus","Arthrocereus","Cactaceae","","","Brazil","21-06-2023","genus"
"Arthrocereus rondonianus","ALIVE","2023-1148","K:LCD-2023-1148*2","Arthrocereus rondonianus","Arthrocereus","Cactaceae","","","Brazil","21-06-2023","genus"
"Arthropteris articulata","ALIVE","1974-286","K:LCD-1974-286*1","Arthropteris articulata","Arthropteris","Polypodiaceae","","N - Natural Source and Progeny","Papua New Guinea","04-07-2022","genus"
"Arthropteris orientalis","ALIVE","1955-26801","K:LCD-1955-26801*1","Arthropteris orientalis","Arthropteris","Polypodiaceae","","","Cameroon","04-07-2022","genus"
"Arthropteris palisotii","ALIVE","1994-1101","K:LCD-1994-1101*1","Arthropteris palisotii","Arthropteris","Polypodiaceae","","N - Natural Source and Progeny","Malaysia","09-06-2025","genus"
"Astroloba congesta","ALIVE","1973-13457","K:LCD-1973-13457*1","Astroloba congesta","Astroloba","Asphodelaceae","","","","24-11-2021","genus"
"Astroloba corrugata","ALIVE","2004-2814","K:LCD-2004-2814*1","Astroloba corrugata","Astroloba","Asphodelaceae","","N - Natural Source and Progeny","","24-11-2021","genus"
"Astroloba foliolosa","ALIVE","2019-2892","K:LCD-2019-2892*1","Astroloba foliolosa","Astroloba","Asphodelaceae","","N - Natural Source and Progeny","","20-03-2023","genus"
"Astroloba foliolosa","ALIVE","1993-2495","K:LCD-1993-2495*1","Astroloba foliolosa","Astroloba","Asphodelaceae","","","","24-11-2021","genus"
"Astroloba foliolosa","ALIVE","1973-3128","K:LCD-1973-3128*1","Haworthia foliolosa","Haworthia","Asphodelaceae","","N - Natural Source and Progeny","South Africa","24-11-2021","genus"
"Astroloba foliolosa","ALIVE","1973-3127","K:LCD-1973-3127*1","Haworthia foliolosa","Haworthia","Asphodelaceae","","N - Natural Source and Progeny","South Africa","24-11-2021","genus"
"Astroloba rubriflora","ALIVE","2023-0118","K:LCD-2023-0118*1","Astroloba rubriflora","Astroloba","Asphodelaceae","","N - Natural Source and Progeny","South Africa","20-08-2024","genus"
"Astroloba rubriflora","ALIVE","1984-2731","K:LCD-1984-2731*1","Astroloba rubriflora","Astroloba","Asphodelaceae","","","","24-11-2021","genus"
"Astroloba spiralis","ALIVE","1973-3989","K:LCD-1973-3989*1","Astroloba spiralis","Astroloba","Asphodelaceae","","","South Africa","24-11-2021","genus"
"Ateleia gummifera","ALIVE","2014-1328","K:LCD-2014-1328*1","Ateleia gummifera","Ateleia","Fabaceae","","N - Natural Source and Progeny","Turks and Caicos Islands","05-12-2023","genus"
"Austrobaileya scandens","ALIVE","2012-64","K:LCD-2012-64*1","Austrobaileya scandens","Austrobaileya","Austrobaileyaceae","","","","20-12-2023","genus"
"Austrobaileya scandens","ALIVE","2012-64","K:LCD-2012-64*1","Austrobaileya scandens","Austrobaileya","Austrobaileyaceae","","","","20-12-2023","family"
"Ayenia baronii","ALIVE","2007-1594","K:LCD-2007-1594*1","Ayenia baronii","Ayenia","Malvaceae","","N - Natural Source and Progeny","","16-06-2023","genus"
"Ayenia macrantha","ALIVE","2007-1591","K:LCD-2007-1591*1","Ayenia macrantha","Ayenia","Malvaceae","","N - Natural Source and Progeny","","16-06-2023","genus"
"Azima tetracantha","ALIVE","1973-12749","K:LCD-1973-12749*2","Azima tetracantha","Azima","Salvadoraceae","","","","10-06-2025","family"
"Azima tetracantha","ALIVE","1973-12749","K:LCD-1973-12749*2","Azima tetracantha","Azima","Salvadoraceae","","","","10-06-2025","genus"
"Badula barthesia","ALIVE","2015-437","K:LCD-2015-437*1","Badula barthesia","Badula","Primulaceae","","N - Natural Source and Progeny","Reunion","22-12-2022","genus"
"Badula ovalifolia","ALIVE","2010-2025","K:LCD-2010-2025*3","Badula ovalifolia","Badula","Primulaceae","","N - Natural Source and Progeny","","21-12-2023","genus"
"Baloghia inophylla","ALIVE","1985-780","K:LCD-1985-780*1","Baloghia inophylla","Baloghia","Euphorbiaceae",NA,"N - Natural Source and Progeny","Norfolk Island","28-12-2024","genus"
"Baloghia inophylla","ALIVE","1985-780","K:LCD-1985-780*2","Baloghia inophylla","Baloghia","Euphorbiaceae",NA,"N - Natural Source and Progeny","Norfolk Island","28-12-2024","genus"
"Barnadesia arborea","ALIVE","2010-671","K:LCD-2010-671*4","Barnadesia arborea","Barnadesia","Asteraceae",NA,"N - Natural Source and Progeny","Ecuador","19-02-2024","genus"
"Barnadesia arborea","ALIVE","2010-671","K:LCD-2010-671*2","Barnadesia arborea","Barnadesia","Asteraceae",NA,"N - Natural Source and Progeny","Ecuador","19-02-2024","genus"
"Barnadesia caryophylla","ALIVE","1945-21101","K:LCD-1945-21101*4","Barnadesia caryophylla","Barnadesia","Asteraceae",NA,"","","19-02-2024","genus"
"Barnadesia caryophylla","ALIVE","1945-21101","K:LCD-1945-21101*2","Barnadesia caryophylla","Barnadesia","Asteraceae",NA,"","","19-02-2024","genus"
