"Accepted.Name","Is.Dead","Accession.Number","Catalogue.Number","TaxonomicName","Genus","Family","Provenance.Code","Legacy.Provenance.Code","Country.ISO","Last.Seen.On","target"
"Deppea splendens","ALIVE","2015-388","K:LCD-2015-388*1","Deppea splendens","Deppea","Rubiaceae","","","","16-12-2024","genus"
"Deppea splendens","ALIVE","2015-388","K:LCD-2015-388*7","Deppea splendens","Deppea","Rubiaceae",NA,"","","19-02-2024","genus"
"Deppea splendens","ALIVE","2015-388","K:LCD-2015-388*8","Deppea splendens","Deppea","Rubiaceae",NA,"","","19-02-2024","genus"
"Deppea splendens","ALIVE","2015-388","K:LCD-2015-388*6","Deppea splendens","Deppea","Rubiaceae",NA,"","","28-11-2024","genus"
"Desmidorchis retrospiciens","ALIVE","2025-478","K:LCD-2025-478*1","Desmidorchis retrospiciens","Desmidorchis","Apocynaceae","G - Garden","","","22-04-2025","genus"
"Desmidorchis retrospiciens","ALIVE","2025-478","K:LCD-2025-478*2","Desmidorchis retrospiciens","Desmidorchis","Apocynaceae","G - Garden","","","22-04-2025","genus"
"Dicraeopetalum mahafaliense","ALIVE","2020-1121","K:LCD-2020-1121*1","Dicraeopetalum mahafaliense","Dicraeopetalum","Fabaceae","","N - Natural Source and Progeny","Madagascar","11-06-2024","genus"
"Dienia ophrydis","ALIVE","2022-606","K:LCD-2022-606*2","Dienia ophrydis","Dienia","Orchidaceae","","","","17-09-2024","genus"
"Dienia ophrydis","ALIVE","2018-1163","K:LCD-2018-1163*1","Dienia ophrydis","Dienia","Orchidaceae","","N - Natural Source and Progeny","","03-07-2024","genus"
"Dienia ophrydis","ALIVE","2022-1935","K:LCD-2022-1935*1","Dienia ophrydis","Dienia","Orchidaceae","","","","24-12-2024","genus"
"Dienia ophrydis","ALIVE","2022-560","K:LCD-2022-560*1","Dienia ophrydis","Dienia","Orchidaceae","","","","24-12-2024","genus"
"Dinochloa scandens","ALIVE","2019-976","K:LCD-2019-976*1","Dinochloa scandens","Dinochloa","Poaceae","","","","12-05-2023","genus"
"Dinteranthus inexpectatus","ALIVE","2023-1881","K:LCD-2023-1881*1","Dinteranthus inexpectatus","Dinteranthus","Aizoaceae","","","","19-12-2023","genus"
"Discocactus","ALIVE","2024-1163","K:LCD-2024-1163*1","Discocactus","Discocactus","Cactaceae","","","","26-06-2024","genus"
"Discocactus horstii","ALIVE","2025-695","K:LCD-2025-695*1","Discocactus horstii","Discocactus","Cactaceae","U - Unknown","","","29-05-2025","genus"
"Discocactus horstii","ALIVE","2024-1160","K:LCD-2024-1160*1","Discocactus horstii","Discocactus","Cactaceae","","","","26-06-2024","genus"
"Discocactus horstii","ALIVE","2024-1162","K:LCD-2024-1162*1","Discocactus horstii","Discocactus","Cactaceae","","","","26-06-2024","genus"
"Distephanus populifolius","ALIVE","1985-3274","K:LCD-1985-3274*2","Distephanus populifolius","Distephanus","Asteraceae",NA,"N - Natural Source and Progeny","Mauritius","28-07-2022","genus"
"Distephanus populifolius","ALIVE","1985-3275","K:LCD-1985-3275*1","Distephanus populifolius","Distephanus","Asteraceae",NA,"N - Natural Source and Progeny","Mauritius","28-07-2022","genus"
"Disynstemon paullinioides","ALIVE","2020-689","K:LCD-2020-689*1","Disynstemon paullinioides","Disynstemon","Fabaceae","","N - Natural Source and Progeny","Madagascar","18-03-2020","genus"
"Dossinia","ALIVE","2024-1476","K:LCD-2024-1476*1","Dossinia","Dossinia","Orchidaceae","","","","13-11-2024","genus"
"Dracophilus delaetianus","ALIVE","1984-2394","K:LCD-1984-2394*2","Dracophilus delaetianus","Dracophilus","Aizoaceae","","N - Natural Source and Progeny","Namibia","19-12-2023","genus"
"Dressleria dilecta","ALIVE","2021-436","K:LCD-2021-436*1","Dressleria dilecta","Dressleria","Orchidaceae","","N - Natural Source and Progeny","Costa Rica","24-12-2024","genus"
"Drypetes deplanchei","ALIVE","1969-12473","K:LCD-1969-12473*2","Drypetes deplanchei","Drypetes","Putranjivaceae",NA,"","","28-12-2024","family"
"Drypetes deplanchei","ALIVE","1969-12473","K:LCD-1969-12473*2","Drypetes deplanchei","Drypetes","Putranjivaceae",NA,"","","28-12-2024","genus"
"Drypetes deplanchei","ALIVE","1965-57704","K:LCD-1965-57704*1","Drypetes deplanchei subsp. affinis","Drypetes","Putranjivaceae","","N - Natural Source and Progeny","Australia","16-12-2024","family"
"Drypetes deplanchei","ALIVE","1965-57704","K:LCD-1965-57704*1","Drypetes deplanchei subsp. affinis","Drypetes","Putranjivaceae","","N - Natural Source and Progeny","Australia","16-12-2024","genus"
"Drypetes deplanchei","ALIVE","1969-12473","K:LCD-1969-12473*1","Drypetes deplanchei","Drypetes","Putranjivaceae","","","","16-12-2024","family"
"Drypetes deplanchei","ALIVE","1969-12473","K:LCD-1969-12473*1","Drypetes deplanchei","Drypetes","Putranjivaceae","","","","16-12-2024","genus"
"Drypetes integerrima","ALIVE","2001-3187","K:LCD-2001-3187*3","Drypetes integerrima","Drypetes","Putranjivaceae",NA,"","Japan","20-05-2024","genus"
"Drypetes integerrima","ALIVE","2001-3187","K:LCD-2001-3187*3","Drypetes integerrima","Drypetes","Putranjivaceae",NA,"","Japan","20-05-2024","family"
"Drypetes integerrima","ALIVE","2001-3187","K:LCD-2001-3187*1","Drypetes integerrima","Drypetes","Putranjivaceae",NA,"","Japan","20-05-2024","genus"
"Drypetes integerrima","ALIVE","2001-3187","K:LCD-2001-3187*1","Drypetes integerrima","Drypetes","Putranjivaceae",NA,"","Japan","20-05-2024","family"
"Drypetes integerrima","ALIVE","2001-3187","K:LCD-2001-3187*2","Drypetes integerrima","Drypetes","Putranjivaceae",NA,"","Japan","20-05-2024","genus"
"Drypetes integerrima","ALIVE","2001-3187","K:LCD-2001-3187*2","Drypetes integerrima","Drypetes","Putranjivaceae",NA,"","Japan","20-05-2024","family"
"Dyschoriste thunbergiiflora","ALIVE","1958-79701","K:LCD-1958-79701*1","Dyschoriste thunbergiiflora","Dyschoriste","Acanthaceae","","","","29-06-2022","genus"
"Eberlanzia schneideriana","ALIVE","2021-166","K:LCD-2021-166*1","Eberlanzia schneideriana","Eberlanzia","Aizoaceae","","N - Natural Source and Progeny","South Africa","19-12-2023","genus"
"Ebracteola fulleri","ALIVE","2015-2982","K:LCD-2015-2982*1","Ebracteola fulleri","Ebracteola","Aizoaceae","","N - Natural Source and Progeny","","19-12-2023","genus"
"Ebracteola wilmaniae","ALIVE","2024-0921","K:LCD-2024-0921*1","Ebracteola wilmaniae","Ebracteola","Aizoaceae","","","","03-05-2024","genus"
"Ebracteola wilmaniae","ALIVE","2023-0862","K:LCD-2023-0862*1","Ebracteola wilmaniae","Ebracteola","Aizoaceae","","","","20-12-2023","genus"
"Ecbolium amplexicaule","ALIVE","1975-308","K:LCD-1975-308*1","Ecbolium amplexicaule","Ecbolium","Acanthaceae","","N - Natural Source and Progeny","Kenya","29-06-2022","genus"
"Edmundoa lindenii","ALIVE","2006-1194","K:LCD-2006-1194*1","Edmundoa lindenii var. rosea","Edmundoa","Bromeliaceae","","","","13-07-2025","genus"
"Edmundoa lindenii","ALIVE","2008-1000","K:LCD-2008-1000*1","Edmundoa lindenii","Edmundoa","Bromeliaceae","","","Brazil","13-07-2025","genus"
"Edmundoa lindenii","ALIVE","1972-213","K:LCD-1972-213*1","Canistrum viride","Canistrum","Bromeliaceae","","N - Natural Source and Progeny","Brazil","13-07-2025","genus"
"Edmundoa lindenii","ALIVE","1971-768","K:LCD-1971-768*1","Edmundoa lindenii","Edmundoa","Bromeliaceae","","N - Natural Source and Progeny","Brazil","13-07-2025","genus"
"Elingamita johnsonii","ALIVE","1954-37601","K:LCD-1954-37601*3","Elingamita johnsonii","Elingamita","Primulaceae",NA,"","","27-03-2024","genus"
"Elingamita johnsonii","ALIVE","2015-1854","K:LCD-2015-1854*2","Elingamita johnsonii","Elingamita","Primulaceae",NA,"","","27-03-2024","genus"
"Elingamita johnsonii","ALIVE","1998-3505","K:LCD-1998-3505*1","Elingamita johnsonii","Elingamita","Primulaceae",NA,"","New Zealand","27-03-2024","genus"
"Elingamita johnsonii","ALIVE","2025-680","K:LCD-2025-680*1","Elingamita johnsonii","Elingamita","Primulaceae","","","","09-06-2025","genus"
"Elingamita johnsonii","ALIVE","1954-37601","K:LCD-1954-37601*1","Elingamita johnsonii","Elingamita","Primulaceae",NA,"","","18-07-2024","genus"
"Elingamita johnsonii","ALIVE","1998-3505","K:LCD-1998-3505*2","Elingamita johnsonii","Elingamita","Primulaceae",NA,"","New Zealand","27-03-2024","genus"
"Embelia nummulariifolia","ALIVE","2021-966","K:LCD-2021-966*2","Embelia nummulariifolia","Embelia","Primulaceae","","N - Natural Source and Progeny","Madagascar","03-07-2023","genus"
"Embelia tropophylla","ALIVE","2009-257","K:LCD-2009-257*1","Embelia tropophylla","Embelia","Primulaceae","","N - Natural Source and Progeny","Madagascar","12-01-2023","genus"
"Emblemantha urnulata","ALIVE","2024-0784","K:LCD-2024-0784*1","Emblemantha urnulata","Emblemantha","Primulaceae","","","","08-04-2024","genus"
"Empogona ovalifolia","ALIVE","2016-1529","K:LCD-2016-1529*1","Empogona ovalifolia","Empogona","Rubiaceae","","N - Natural Source and Progeny","Madagascar","12-01-2023","genus"
"Enarganthe octonaria","ALIVE","2022-44","K:LCD-2022-44*1","Enarganthe octonaria","Enarganthe","Aizoaceae","","N - Natural Source and Progeny","South Africa","20-12-2023","genus"
"Enarganthe octonaria","ALIVE","2020-1267","K:LCD-2020-1267*1","Enarganthe octonaria","Enarganthe","Aizoaceae","W - Wild","N - Natural Source and Progeny","South Africa","20-05-2025","genus"
"Entelea arborescens","ALIVE","2015-1862","K:LCD-2015-1862*2","Entelea arborescens","Entelea","Malvaceae","","","","05-12-2024","genus"
"Entelea arborescens","ALIVE","2015-1862","K:LCD-2015-1862*3","Entelea arborescens","Entelea","Malvaceae",NA,"","","02-01-2025","genus"
"Eremospatha macrocarpa","ALIVE","2002-2727","K:LCD-2002-2727*1","Eremospatha macrocarpa","Eremospatha","Arecaceae","","","","29-04-2025","genus"
"Eriodes barbata","ALIVE","2012-1375","K:LCD-2012-1375*1","Eriodes barbata","Eriodes","Orchidaceae","","N - Natural Source and Progeny","Thailand","19-10-2021","genus"
"Eriodes barbata","ALIVE","2012-1372","K:LCD-2012-1372*3","Eriodes barbata","Eriodes","Orchidaceae","","N - Natural Source and Progeny","Thailand","11-07-2024","genus"
"Eriolaena boivinii","ALIVE","2021-919","K:LCD-2021-919*1","Eriolaena boivinii","Eriolaena","Malvaceae","","N - Natural Source and Progeny","Madagascar","15-08-2023","genus"
"Eriolaena ctenostegia","ALIVE","2006-167","K:LCD-2006-167*3","Eriolaena ctenostegia","Eriolaena","Malvaceae","","N - Natural Source and Progeny","Madagascar","03-07-2023","genus"
"Eriolaena linearifolia","ALIVE","2023-1094","K:LCD-2023-1094*1","Eriolaena linearifolia","Eriolaena","Malvaceae","","N - Natural Source and Progeny","Madagascar","14-06-2023","genus"
"Eriolaena pseudopopulus","ALIVE","2013-1129","K:LCD-2013-1129*1","Eriolaena pseudopopulus","Eriolaena","Malvaceae","","N - Natural Source and Progeny","Madagascar","03-07-2023","genus"
"Eriolaena rigida","ALIVE","2008-2463","K:LCD-2008-2463*2","Eriolaena rigida","Eriolaena","Malvaceae","","N - Natural Source and Progeny","Madagascar","15-08-2023","genus"
"Eriopsis biloba","ALIVE","1999-2990","K:LCD-1999-2990*1","Eriopsis biloba","Eriopsis","Orchidaceae","","","Ecuador","19-10-2021","genus"
"Eriosyce","ALIVE","2009-2599","K:LCD-2009-2599*1","Eriosyce","Eriosyce","Cactaceae","","","","21-09-2023","genus"
"Eriosyce","ALIVE","2009-2603","K:LCD-2009-2603*1","Eriosyce","Eriosyce","Cactaceae","","","","21-09-2023","genus"
"Eriosyce aurata","ALIVE","2004-212","K:LCD-2004-212*1","Eriosyce aurata","Eriosyce","Cactaceae","","","","17-06-2023","genus"
"Eriosyce heinrichiana","ALIVE","2008-2239","K:LCD-2008-2239*1","Eriosyce heinrichiana","Eriosyce","Cactaceae","","","","24-01-2023","genus"
"Eriosyce heinrichiana","ALIVE","2002-654","K:LCD-2002-654*1","Eriosyce heinrichiana","Eriosyce","Cactaceae","","","","21-09-2023","genus"
"Eriosyce napina subsp. napina","ALIVE","1998-3211","K:LCD-1998-3211*1","Eriosyce napina subsp. napina","Eriosyce","Cactaceae","","","","24-01-2023","genus"
"Eriosyce senilis","ALIVE","2007-704","K:LCD-2007-704*1","Eriosyce senilis","Eriosyce","Cactaceae","","","","21-09-2023","genus"
"Eriosyce subgibbosa","ALIVE","2022-748","K:LCD-2022-748*1","Eriosyce subgibbosa","Eriosyce","Cactaceae","","N - Natural Source and Progeny","Chile","25-07-2022","genus"
"Ernodea littoralis","ALIVE","1991-1600","K:LCD-1991-1600*2","Ernodea littoralis","Ernodea","Rubiaceae","","N - Natural Source and Progeny","Mexico","22-12-2020","genus"
"Euonymus glaber","ALIVE","1979-2099","K:LCD-1979-2099*1","Euonymus glaber","Euonymus","Celastraceae",NA,"N - Natural Source and Progeny","Thailand","20-05-2024","family"
"Euonymus glaber","ALIVE","1979-2099","K:LCD-1979-2099*2","Euonymus glaber","Euonymus","Celastraceae",NA,"N - Natural Source and Progeny","Thailand","24-05-2024","family"
"Evolvulus alsinoides","ALIVE","2011-997","K:LCD-2011-997*1","Evolvulus alsinoides","Evolvulus","Convolvulaceae","","N - Natural Source and Progeny","Turks and Caicos Islands","05-12-2023","genus"
"Evolvulus bracei","ALIVE","2011-1056","K:LCD-2011-1056*1","Evolvulus bracei","Evolvulus","Convolvulaceae","","N - Natural Source and Progeny","Turks and Caicos Islands","05-12-2023","genus"
"Exostema caribaeum","ALIVE","2011-990","K:LCD-2011-990*1","Exostema caribaeum","Exostema","Rubiaceae","","N - Natural Source and Progeny","Turks and Caicos Islands","19-11-2013","genus"
"Fernelia buxifolia","ALIVE","2008-1924","K:LCD-2008-1924*1","Fernelia buxifolia","Fernelia","Rubiaceae","","N - Natural Source and Progeny","Mauritius","21-12-2023","genus"
"Fernelia buxifolia","ALIVE","2008-1924","K:LCD-2008-1924*3","Fernelia buxifolia","Fernelia","Rubiaceae","","N - Natural Source and Progeny","Mauritius","29-07-2022","genus"
"Ferreyranthus excelsus","ALIVE","1988-142","K:LCD-1988-142*1","Ferreyranthus excelsus","Ferreyranthus","Asteraceae",NA,"","Peru","19-02-2024","genus"
"Ferreyranthus excelsus","ALIVE","1988-142","K:LCD-1988-142*2","Ferreyranthus excelsus","Ferreyranthus","Asteraceae",NA,"","Peru","19-02-2024","genus"
"Ferreyranthus excelsus","ALIVE","1988-142","K:LCD-1988-142*3","Ferreyranthus excelsus","Ferreyranthus","Asteraceae",NA,"","Peru","19-02-2024","genus"
"Flagellaria indica","ALIVE","2007-2396","K:LCD-2007-2396*1","Flagellaria indica","Flagellaria","Flagellariaceae","","N - Natural Source and Progeny","Madagascar","12-05-2023","family"
"Flagellaria indica","ALIVE","2007-2396","K:LCD-2007-2396*1","Flagellaria indica","Flagellaria","Flagellariaceae","","N - Natural Source and Progeny","Madagascar","12-05-2023","genus"
"Foetidia mauritiana","ALIVE","2008-1898","K:LCD-2008-1898*1","Foetidia mauritiana","Foetidia","Lecythidaceae","","N - Natural Source and Progeny","Mauritius","21-12-2023","genus"
"Foetidia rodriguesiana","ALIVE","2008-1931","K:LCD-2008-1931*2","Foetidia rodriguesiana","Foetidia","Lecythidaceae","","N - Natural Source and Progeny","Mauritius","20-12-2023","genus"
"Freylinia lanceolata","ALIVE","2006-507","K:LCD-2006-507*1","Freylinia lanceolata","Freylinia","Scrophulariaceae",NA,"","","17-08-2023","genus"
"Frithia humilis","ALIVE","2023-1662","K:LCD-2023-1662*1","Frithia humilis","Frithia","Aizoaceae","","","","20-12-2023","genus"
"Frithia pulchra","ALIVE","2018-2243","K:LCD-2018-2243*1","Frithia pulchra","Frithia","Aizoaceae","","","","25-07-2024","genus"
"Gadoria falukei","ALIVE","2019-140","K:LCD-2019-140*3","Gadoria falukei","Gadoria","Plantaginaceae","","N - Natural Source and Progeny","","19-06-2025","genus"
"Gadoria falukei","ALIVE","2019-140","K:LCD-2019-140*2","Gadoria falukei","Gadoria","Plantaginaceae","","N - Natural Source and Progeny","","03-08-2023","genus"
"Gagnebina pterocarpa","ALIVE","2008-1903","K:LCD-2008-1903*1","Gagnebina pterocarpa","Gagnebina","Fabaceae","","N - Natural Source and Progeny","Mauritius","20-12-2023","genus"
"Geissorhiza eurystigma","ALIVE","2020-1467","K:LCD-2020-1467*1","Geissorhiza eurystigma","Geissorhiza","Iridaceae","","","","16-01-2025","genus"
"Geissorhiza imbricata subsp. bicolor","ALIVE","2020-1463","K:LCD-2020-1463*1","Geissorhiza imbricata subsp. bicolor","Geissorhiza","Iridaceae","","N - Natural Source and Progeny","South Africa","08-07-2025","genus"
"Geissorhiza inaequalis","ALIVE","2020-1464","K:LCD-2020-1464*1","Geissorhiza inaequalis","Geissorhiza","Iridaceae","","N - Natural Source and Progeny","South Africa","08-07-2025","genus"
"Geissorhiza inflexa","ALIVE","2020-1468","K:LCD-2020-1468*1","Geissorhiza inflexa","Geissorhiza","Iridaceae","","N - Natural Source and Progeny","South Africa","08-07-2025","genus"
"Geissorhiza mathewsii","ALIVE","2020-1461","K:LCD-2020-1461*1","Geissorhiza mathewsii","Geissorhiza","Iridaceae","","","","08-07-2025","genus"
"Geissorhiza monanthos","ALIVE","2020-1466","K:LCD-2020-1466*1","Geissorhiza monanthos","Geissorhiza","Iridaceae","","N - Natural Source and Progeny","South Africa","08-07-2025","genus"
"Geissorhiza radians","ALIVE","2020-1462","K:LCD-2020-1462*1","Geissorhiza radians","Geissorhiza","Iridaceae","","N - Natural Source and Progeny","South Africa","08-07-2025","genus"
"Geissorhiza splendidissima","ALIVE","2020-1469","K:LCD-2020-1469*1","Geissorhiza splendidissima","Geissorhiza","Iridaceae","","N - Natural Source and Progeny","South Africa","08-07-2025","genus"
"Geissorhiza tulbaghensis","ALIVE","2020-1470","K:LCD-2020-1470*1","Geissorhiza tulbaghensis","Geissorhiza","Iridaceae","","N - Natural Source and Progeny","South Africa","08-07-2025","genus"
"Geitonoplesium cymosum","ALIVE","1972-2585","K:LCD-1972-2585*1","Geitonoplesium cymosum","Geitonoplesium","Asphodelaceae","","","Australia","17-12-2024","genus"
"Geitonoplesium cymosum","ALIVE","1972-2585","K:LCD-1972-2585*2","Geitonoplesium cymosum","Geitonoplesium","Asphodelaceae",NA,"","Australia","28-12-2024","genus"
"Geitonoplesium cymosum","ALIVE","2003-3054","K:LCD-2003-3054*2","Geitonoplesium cymosum","Geitonoplesium","Asphodelaceae","","","Australia","22-09-2022","genus"
"Gesnouinia arborea","ALIVE","2011-1433","K:LCD-2011-1433*1","Gesnouinia arborea","Gesnouinia","Urticaceae","","N - Natural Source and Progeny","Spain","12-01-2025","genus"
"Glomera pungens","ALIVE","2025-601","K:LCD-2025-601*1","Glomera pungens","Glomera","Orchidaceae","G - Garden","","","20-05-2025","genus"
"Gonioma kamassi","ALIVE","1973-12044","K:LCD-1973-12044*1","Gonioma kamassi","Gonioma","Apocynaceae",NA,"","","21-06-2022","genus"
"Gonioma kamassi","ALIVE","1973-12044","K:LCD-1973-12044*2","Gonioma kamassi","Gonioma","Apocynaceae",NA,"","","23-06-2022","genus"
"Gonzalagunia hirsuta","ALIVE","2016-2414","K:LCD-2016-2414*1","Gonzalagunia hirsuta","Gonzalagunia","Rubiaceae","","N - Natural Source and Progeny","British Virgin Islands","05-12-2023","genus"
"Gorgonidium intermedium","ALIVE","1981-4132","K:LCD-1981-4132*1","Gorgonidium intermedium","Gorgonidium","Araceae","","","Peru","29-12-2024","genus"
"Gorgonidium intermedium","ALIVE","1981-4132","K:LCD-1981-4132*2","Gorgonidium intermedium","Gorgonidium","Araceae",NA,"","Peru","29-05-2024","genus"
"Gouania tiliifolia","ALIVE","2013-1483","K:LCD-2013-1483*1","Gouania tiliifolia","Gouania","Rhamnaceae","","N - Natural Source and Progeny","","15-03-2023","genus"
"Gouania tiliifolia","ALIVE","2013-1483","K:LCD-2013-1483*2","Gouania tiliifolia","Gouania","Rhamnaceae","","N - Natural Source and Progeny","","02-06-2023","genus"
"Grandidiera boivinii","ALIVE","2011-1434","K:LCD-2011-1434*1","Grandidiera boivinii","Grandidiera","Achariaceae","","N - Natural Source and Progeny","Tanzania","22-12-2023","genus"
"Gravendeelia chamaelepanthes","ALIVE","2002-1267","K:LCD-2002-1267*4","Gravendeelia chamaelepanthes","Gravendeelia","Orchidaceae","","","","24-05-2022","genus"
"Gustavia gracillima","ALIVE","2016-2204","K:LCD-2016-2204*1","Gustavia gracillima","Gustavia","Lecythidaceae","","","Colombia","20-12-2023","genus"
"Gustavia longifolia","ALIVE","1985-5383","K:LCD-1985-5383*1","Gustavia longifolia","Gustavia","Lecythidaceae","","N - Natural Source and Progeny","Peru","17-06-2025","genus"
"Gustavia longifolia","ALIVE","1985-5383","K:LCD-1985-5383*4","Gustavia longifolia","Gustavia","Lecythidaceae","","N - Natural Source and Progeny","Peru","17-06-2025","genus"
"Gustavia poeppigiana","ALIVE","1973-1862","K:LCD-1973-1862*1","Gustavia poeppigiana","Gustavia","Lecythidaceae","","N - Natural Source and Progeny","Colombia","20-12-2023","genus"
"Gustavia superba","ALIVE","1995-3144","K:LCD-1995-3144*4","Gustavia superba","Gustavia","Lecythidaceae","","N - Natural Source and Progeny","Ecuador","17-06-2025","genus"
"Gustavia superba","ALIVE","1995-3144","K:LCD-1995-3144*1","Gustavia superba","Gustavia","Lecythidaceae","","N - Natural Source and Progeny","Ecuador","17-06-2025","genus"
"Gymnosporia arbutifolia","ALIVE","1953-58501","K:LCD-1953-58501*3","Gymnosporia arbutifolia","Gymnosporia","Celastraceae",NA,"N - Natural Source and Progeny","Ethiopia","22-08-2023","family"
"Gynochthodes jasminoides","ALIVE","1986-1269","K:LCD-1986-1269*1","Gynochthodes jasminoides","Gynochthodes","Rubiaceae",NA,"N - Natural Source and Progeny","Australia","02-01-2025","genus"
"Habenaria","ALIVE","2018-1175","K:LCD-2018-1175*1","Habenaria","Habenaria","Orchidaceae","","N - Natural Source and Progeny","","17-12-2021","genus"
"Habenaria dentata","ALIVE","2022-1421","K:LCD-2022-1421*1","Habenaria dentata","Habenaria","Orchidaceae","","","","28-11-2024","genus"
"Habenaria dentata","ALIVE","2021-976","K:LCD-2021-976*1","Habenaria dentata","Habenaria","Orchidaceae","","","","04-11-2024","genus"
"Habenaria dentata","ALIVE","2016-2541","K:LCD-2016-2541*1","Habenaria dentata","Habenaria","Orchidaceae","","N - Natural Source and Progeny","","04-11-2024","genus"
"Habenaria jaegeri","ALIVE","2010-398","K:LCD-2010-398*2","Habenaria jaegeri","Habenaria","Orchidaceae","","N - Natural Source and Progeny","","08-11-2024","genus"
"Habenaria leptoceras","ALIVE","1983-2081","K:LCD-1983-2081*1","Habenaria leptoceras","Habenaria","Orchidaceae","","N - Natural Source and Progeny","Brazil","19-10-2021","genus"
"Habenaria leptoceras","ALIVE","2011-1555","K:LCD-2011-1555*1","Habenaria leptoceras","Habenaria","Orchidaceae","","N - Natural Source and Progeny","Brazil","19-10-2021","genus"
"Habenaria medusa","ALIVE","2022-396","K:LCD-2022-396*1","Habenaria medusa","Habenaria","Orchidaceae","","","","04-07-2024","genus"
"Habenaria pasmithii","ALIVE","2023-1613","K:LCD-2023-1613*1","Habenaria pasmithii","Habenaria","Orchidaceae","","","Zambia","22-01-2024","genus"
"Habenaria rhodocheila","ALIVE","2013-1682","K:LCD-2013-1682*1","Habenaria rhodocheila","Habenaria","Orchidaceae","","N - Natural Source and Progeny","","04-11-2024","genus"
"Habenaria zambesina","ALIVE","2023-1470","K:LCD-2023-1470*1","Habenaria zambesina","Habenaria","Orchidaceae","","N - Natural Source and Progeny","Zambia","04-07-2024","genus"
"Harrisia adscendens","ALIVE","1974-1108","K:LCD-1974-1108*2","Harrisia adscendens","Harrisia","Cactaceae","","N - Natural Source and Progeny","Brazil","21-02-2024","genus"
"Harrisia adscendens","ALIVE","2007-978","K:LCD-2007-978*1","Harrisia adscendens","Harrisia","Cactaceae","","","","20-02-2024","genus"
"Harrisia adscendens","ALIVE","2002-3072","K:LCD-2002-3072*1","Harrisia adscendens","Harrisia","Cactaceae","","","","20-02-2024","genus"
"Harrisia adscendens","ALIVE","2003-3486","K:LCD-2003-3486*1","Harrisia adscendens","Harrisia","Cactaceae","","","Brazil","20-02-2024","genus"
"Harrisia divaricata","ALIVE","2020-697","K:LCD-2020-697*3","Harrisia divaricata","Harrisia","Cactaceae","","N - Natural Source and Progeny","Dominican Republic","05-10-2021","genus"
"Harrisia divaricata","ALIVE","2020-697","K:LCD-2020-697*4","Harrisia divaricata","Harrisia","Cactaceae","","N - Natural Source and Progeny","Dominican Republic","19-02-2024","genus"
"Harrisia divaricata","ALIVE","2020-697","K:LCD-2020-697*1","Harrisia divaricata","Harrisia","Cactaceae","","N - Natural Source and Progeny","Dominican Republic","19-02-2024","genus"
"Harrisia divaricata","ALIVE","2020-697","K:LCD-2020-697*2","Harrisia divaricata","Harrisia","Cactaceae","","N - Natural Source and Progeny","Dominican Republic","19-02-2024","genus"
"Harrisia divaricata","ALIVE","2020-697","K:LCD-2020-697*5","Harrisia divaricata","Harrisia","Cactaceae","","N - Natural Source and Progeny","Dominican Republic","19-02-2024","genus"
"Harrisia eriophora","ALIVE","2007-401","K:LCD-2007-401*1","Harrisia eriophora","Harrisia","Cactaceae","","","Cuba","20-02-2024","genus"
"Harrisia gracilis","ALIVE","2003-3491","K:LCD-2003-3491*1","Harrisia gracilis","Harrisia","Cactaceae","","","","20-02-2024","genus"
"Harrisia martinii","ALIVE","1973-13341","K:LCD-1973-13341*2","Harrisia martinii","Harrisia","Cactaceae","","","","20-02-2024","genus"
"Harrisia martinii","ALIVE","2007-632","K:LCD-2007-632*1","Harrisia martinii","Harrisia","Cactaceae","","","","20-02-2024","genus"
"Harrisia martinii","ALIVE","1979-2845","K:LCD-1979-2845*1","Harrisia martinii","Harrisia","Cactaceae","","N - Natural Source and Progeny","Argentina","08-11-2022","genus"
"Harrisia pomanensis","ALIVE","2004-3487","K:LCD-2004-3487*1","Harrisia pomanensis","Harrisia","Cactaceae","","N - Natural Source and Progeny","","20-02-2024","genus"
"Harrisia pomanensis","ALIVE","2000-3472","K:LCD-2000-3472*1","Harrisia pomanensis","Harrisia","Cactaceae","","","","20-02-2024","genus"
"Harrisia regelii","ALIVE","2004-3488","K:LCD-2004-3488*1","Harrisia regelii","Harrisia","Cactaceae","","N - Natural Source and Progeny","","20-02-2024","genus"
"Harrisia tortuosa","ALIVE","1985-2774","K:LCD-1985-2774*1","Harrisia tortuosa","Harrisia","Cactaceae","","","","20-02-2024","genus"
"Hartmanthus pergamentaceus","ALIVE","2021-792","K:LCD-2021-792*1","Hartmanthus pergamentaceus","Hartmanthus","Aizoaceae","","N - Natural Source and Progeny","South Africa","04-11-2021","genus"
"Harungana madagascariensis","ALIVE","2020-1067","K:LCD-2020-1067*1","Harungana madagascariensis","Harungana","Hypericaceae","","N - Natural Source and Progeny","Madagascar","16-06-2023","genus"
"Hedycarya arborea","ALIVE","2015-1863","K:LCD-2015-1863*1","Hedycarya arborea","Hedycarya","Monimiaceae",NA,"","","27-03-2024","genus"
"Heritiera littoralis","ALIVE","2019-2884","K:LCD-2019-2884*2","Heritiera littoralis","Heritiera","Malvaceae","","","","12-05-2023","genus"
"Heteradelphia paulojaegeria","ALIVE","1986-4632","K:LCD-1986-4632*3","Heteradelphia paulojaegeria","Heteradelphia","Acanthaceae","","","Cote d'Ivoire","06-12-2022","genus"
