filename;sample_id;species;NCBITaxonomy_ID;Ionization_mode;garden;dataset;taxon_scientific_name;taxon_accepted_name;taxon_rank;observation_subject;is_wild;qfield_project;latitude;longitude;collection_date;instrument_model;extraction_method;sample_type
250415_ML_Metabo_DDA_sample_748_nr8.mzML;dbgi_002058;Chamaebuxus unguiculata (Poir.) J.F.B.Pastore;NA;Positive;JBN;jbn;Chamaebuxus unguiculata;Chamaebuxus unguiculata (Poir.) J.F.B.Pastore;species;Leaf;0;jbn;47,000030;6,9348020;20240712110818;LCMS – Synapt XS;MeOH/H2O;plant specimen
250415_ML_Metabo_DDA_sample_749_nr8.mzML;dbgi_003236;Festuca laevigata Gaudin;NA;Positive;JBN;jbn;Festuca laevigata;Festuca laevigata Gaudin;species;Leaf;0;jbn;47,000023;6,9346360;20240722082052;LCMS – Synapt XS;MeOH/H2O;plant specimen
250415_ML_Metabo_DDA_sample_751_nr8.mzML;dbgi_003487;Solanum L.;NA;Positive;JBN;jbn;Solanum;Solanum L.;genus;Leaf;1;jbn;46,999720;6,9340320;20240813153153;LCMS – Synapt XS;MeOH/H2O;plant specimen
250415_ML_Metabo_DDA_sample_753_nr8.mzML;dbgi_003714;Pelargonium endlicherianum Fenzl;NA;Positive;JBN;jbn;Pelargonium endlicherianum;Pelargonium endlicherianum Fenzl;species;Leaf;0;jbn;46,999680;6,9340887;20240826122345;LCMS – Synapt XS;MeOH/H2O;plant specimen
250415_ML_Metabo_DDA_sample_754_nr8.mzML;dbgi_003521;Petrosedum rupestre (L.) P.V.Heath;NA;Positive;JBN;jbn;Petrosedum rupestre;Petrosedum rupestre (L.) P.V.Heath;species;Leaf;0;jbn;46,999880;6,9347253;20240725145649;LCMS – Synapt XS;MeOH/H2O;plant specimen
250415_ML_Metabo_DDA_sample_755_nr8.mzML;dbgi_003492;Vicia lens (L.) Coss. & Germ.;NA;Positive;JBN;jbn;Vicia lens;Vicia lens (L.) Coss. & Germ.;species;Leaf;1;jbn;46,999718;6,9340196;20240813152707;LCMS – Synapt XS;MeOH/H2O;plant specimen
250415_ML_Metabo_DDA_sample_756_nr8.mzML;dbgi_003395;Euphorbia myrsinites L.;NA;Positive;JBN;jbn;Euphorbia myrsinites;Euphorbia myrsinites L.;species;Leaf;0;jbn;46,999847;6,9348760;20240725102653;LCMS – Synapt XS;MeOH/H2O;plant specimen
250415_ML_Metabo_DDA_sample_757_nr8.mzML;dbgi_002135;Trifolium alpestre L.;NA;Positive;JBN;jbn;Trifolium alpestre;Trifolium alpestre L.;species;Leaf;0;jbn;47,000040;6,9345640;20240722093415;LCMS – Synapt XS;MeOH/H2O;plant specimen
250415_ML_Metabo_DDA_sample_758_nr8.mzML;dbgi_003597;Euonymus alatus (Thunb.) Siebold;NA;Positive;JBN;jbn;Euonymus alatus;Euonymus alatus (Thunb.) Siebold;species;Leaf;0;jbn;46,999573;6,9341497;20240826152052;LCMS – Synapt XS;MeOH/H2O;plant specimen
250415_ML_Metabo_DDA_sample_759_nr8.mzML;dbgi_003632;Mentha aquatica L.;NA;Positive;JBN;jbn;Mentha aquatica;Mentha aquatica L.;species;Leaf;0;jbn;46,999744;6,9346240;20240823142735;LCMS – Synapt XS;MeOH/H2O;plant specimen
250415_ML_Metabo_DDA_sample_760_nr8.mzML;dbgi_003263;Pallenis spinosa subsp. spinosa;NA;Positive;JBN;jbn;Pallenis spinosa subsp. spinosa;Pallenis spinosa subsp. spinosa;subspecies;Leaf;1;jbn;46,999900;6,9346490;20240726101528;LCMS – Synapt XS;MeOH/H2O;plant specimen
250415_ML_Metabo_DDA_sample_761_nr8.mzML;dbgi_003620;Vitis vulpina L.;NA;Positive;JBN;jbn;Vitis vulpina;Vitis vulpina L.;species;Leaf;0;jbn;46,999630;6,9341946;20240826134233;LCMS – Synapt XS;MeOH/H2O;plant specimen
250415_ML_Metabo_DDA_sample_762_nr8.mzML;dbgi_003559;Symphyotrichum ericoides (L.) G.L.Nesom;NA;Positive;JBN;jbn;Symphyotrichum ericoides;Symphyotrichum ericoides (L.) G.L.Nesom;species;Leaf;0;jbn;46,999546;6,9339185;20240826111710;LCMS – Synapt XS;MeOH/H2O;plant specimen
250415_ML_Metabo_DDA_sample_763_nr8.mzML;dbgi_003473;Salvia rosmarinus subsp. rosmarinus;NA;Positive;JBN;jbn;Salvia rosmarinus subsp. rosmarinus;Salvia rosmarinus subsp. rosmarinus;subspecies;Leaf;0;jbn;46,999794;6,9341764;20240726152038;LCMS – Synapt XS;MeOH/H2O;plant specimen
250415_ML_Metabo_DDA_sample_764_nr8.mzML;dbgi_002120;Prunus spinosa L.;NA;Positive;JBN;jbn;Prunus spinosa;Prunus spinosa L.;species;Leaf;0;jbn;47,000160;6,9349265;20240708113528;LCMS – Synapt XS;MeOH/H2O;plant specimen
250415_ML_Metabo_DDA_sample_765_nr8.mzML;dbgi_003228;Hieracium peletierianum Merat;NA;Positive;JBN;jbn;Hieracium peletierianum;Hieracium peletierianum Merat;species;Leaf;0;jbn;47,000023;6,9346330;20240722082457;LCMS – Synapt XS;MeOH/H2O;plant specimen
250415_ML_Metabo_DDA_sample_766_nr8.mzML;dbgi_003764;Mentha L.;NA;Positive;JBN;jbn;Mentha;Mentha L.;genus;Leaf;1;jbn;46,999733;6,9345870;20240823135638;LCMS – Synapt XS;MeOH/H2O;plant specimen
250415_ML_Metabo_DDA_sample_767_nr8.mzML;dbgi_003495;Medicago sativa subsp. sativa;NA;Positive;JBN;jbn;Medicago sativa subsp. sativa;Medicago sativa subsp. sativa;subspecies;Leaf;0;jbn;46,999820;6,9345240;20240726145704;LCMS – Synapt XS;MeOH/H2O;plant specimen
250415_ML_Metabo_DDA_sample_768_nr8.mzML;dbgi_002188;Veronica fruticulosa L.;NA;Positive;JBN;jbn;Veronica fruticulosa;Veronica fruticulosa L.;species;Leaf;0;jbn;47,000030;6,9346886;20240722103938;LCMS – Synapt XS;MeOH/H2O;plant specimen
250415_ML_Metabo_DDA_sample_769_nr8.mzML;dbgi_002219;Asyneuma canescens (Waldst. & Kit.) Griseb. & Schenk;NA;Positive;JBN;jbn;Asyneuma canescens;Asyneuma canescens (Waldst. & Kit.) Griseb. & Schenk;species;Leaf;0;jbn;46,999900;6,9349074;20240725095838;LCMS – Synapt XS;MeOH/H2O;plant specimen
250415_ML_Metabo_DDA_sample_770_nr8.mzML;dbgi_003391;Crataegus laevigata (Poir.) DC.;NA;Positive;JBN;jbn;Crataegus laevigata;Crataegus laevigata (Poir.) DC.;species;Leaf;0;jbn;46,999580;6,9338570;20240813144728;LCMS – Synapt XS;MeOH/H2O;plant specimen
250415_ML_Metabo_DDA_sample_771_nr8.mzML;dbgi_003240;Erinus alpinus L.;NA;Positive;JBN;jbn;Erinus alpinus;Erinus alpinus L.;species;Leaf;0;jbn;47,000050;6,9347034;20240722104550;LCMS – Synapt XS;MeOH/H2O;plant specimen
250415_ML_Metabo_DDA_sample_772_nr8.mzML;dbgi_003673;Eucalyptus gunnii Hook.fil.;NA;Positive;JBN;jbn;Eucalyptus gunnii;Eucalyptus gunnii Hook.fil.;species;Leaf;1;jbn;46,999670;6,9340270;20240826115839;LCMS – Synapt XS;MeOH/H2O;plant specimen
250415_ML_Metabo_DDA_sample_773_nr8.mzML;dbgi_003445;Aquilegia vulgaris L.;NA;Positive;JBN;jbn;Aquilegia vulgaris;Aquilegia vulgaris L.;species;Leaf;0;jbn;46,999470;6,9338360;20240813151139;LCMS – Synapt XS;MeOH/H2O;plant specimen
250415_ML_Metabo_DDA_sample_774_nr8.mzML;dbgi_003382;Echinops sphaerocephalus L.;NA;Positive;JBN;jbn;Echinops sphaerocephalus;Echinops sphaerocephalus L.;species;Leaf;0;jbn;46,999912;6,9347954;20240725125013;LCMS – Synapt XS;MeOH/H2O;plant specimen
250415_ML_Metabo_DDA_sample_775_nr8.mzML;dbgi_003367;Geranium nodosum L.;NA;Positive;JBN;jbn;Geranium nodosum;Geranium nodosum L.;species;Leaf;0;jbn;47,000030;6,9347024;20240722104236;LCMS – Synapt XS;MeOH/H2O;plant specimen
250415_ML_Metabo_DDA_sample_777_nr8.mzML;dbgi_003865;Cota tinctoria subsp. tinctoria;NA;Positive;JBN;jbn;Cota tinctoria subsp. tinctoria;Cota tinctoria subsp. tinctoria;subspecies;Leaf;0;jbn;46,999775;6,9339030;20240812102041;LCMS – Synapt XS;MeOH/H2O;plant specimen
250415_ML_Metabo_DDA_sample_778_nr8.mzML;dbgi_003401;Corylus avellana L.;NA;Positive;JBN;jbn;Corylus avellana;Corylus avellana L.;species;Leaf;0;jbn;46,999527;6,9338270;20240813141607;LCMS – Synapt XS;MeOH/H2O;plant specimen
250415_ML_Metabo_DDA_sample_779_nr8.mzML;dbgi_003490;Laurus nobilis L.;NA;Positive;JBN;jbn;Laurus nobilis;Laurus nobilis L.;species;Leaf;0;jbn;46,999794;6,9342046;20240726151753;LCMS – Synapt XS;MeOH/H2O;plant specimen
250415_ML_Metabo_DDA_sample_780_nr8.mzML;dbgi_002028;Sambucus ebulus L.;NA;Positive;JBN;jbn;Sambucus ebulus;Sambucus ebulus L.;species;Leaf;0;jbn;47,000050;6,9345420;20240722094035;LCMS – Synapt XS;MeOH/H2O;plant specimen
