"entity_ID","geo_entity","longitude","latitude","biome","mean_wc2.0_bio_30s_01","mean_wc2.0_bio_30s_12","species"
10535,"China",103.835973,36.561732,"Montane Grasslands & Shrublands",6.15989,561.22542,"Actaea heracleifolia"
11101,"North-Korea",127.162779,40.134347,"Temperate Broadleaf & Mixed Forests",6.27141,958.53571,"Actaea heracleifolia"
11102,"South-Korea",127.792868,36.354291,"Temperate Broadleaf & Mixed Forests",11.34099,1292.22018,"Actaea heracleifolia"
12629,"Ussuri region",134.93062,47.068917,"Temperate Broadleaf & Mixed Forests",0.54964,749.94665,"Actaea heracleifolia"
10015,"Region Rhône-Alpes, France",5.343218,45.439753,"Temperate Broadleaf & Mixed Forests",8.97614,1064.59497,"Adenostyles leucophylla"
10056,"Switzerland",8.234912,46.802802,"Temperate Conifer Forests",5.31445,1251.33546,"Adenostyles leucophylla"
10589,"Austria incl. Liechtenstein",14.130495,47.592048,"Temperate Conifer Forests",6.2733,1068.19956,"Adenostyles leucophylla"
10675,"France incl. Channel Islands and Monaco excl. Corse",2.44973,46.632353,"Temperate Broadleaf & Mixed Forests",10.70229,849.89313,"Adenostyles leucophylla"
10709,"Italy excl. Sardinia and Sicily",12.155074,43.525573,"Mediterranean Forests, Woodlands & Scrub",11.55104,836.64162,"Adenostyles leucophylla"
11029,"Valle d'Aosta Province, Italy",7.393502,45.732743,"Temperate Conifer Forests",1.81202,1174.57717,"Adenostyles leucophylla"
11030,"Piemonte Province, Italy",7.92638,45.061542,"Temperate Conifer Forests",9.42264,899.9612,"Adenostyles leucophylla"
11031,"Lombardia Province, Italy",9.770565,45.619968,"Temperate Conifer Forests",9.82093,882.33783,"Adenostyles leucophylla"
11032,"Trentino-Alto Adige Province, Italy",11.28284,46.442442,"Temperate Conifer Forests",4.41008,728.00445,"Adenostyles leucophylla"
11096,"Tirol, Austria",11.498997,47.195063,"Temperate Conifer Forests",2.91457,1200.17755,"Adenostyles leucophylla"
11098,"Südtirol",11.416761,46.697332,"Temperate Conifer Forests",3.33961,837.80221,"Adenostyles leucophylla"
11100,"Austria, Lichtenstein and South Tyrol",13.915982,47.516318,"Temperate Conifer Forests",6.03514,1050.10485,"Adenostyles leucophylla"
12064,"Austria",14.141108,47.588083,"Temperate Conifer Forests",6.26796,1067.96298,"Adenostyles leucophylla"
12066,"France excl. Corse",2.456035,46.625369,"Temperate Broadleaf & Mixed Forests",10.70401,849.96439,"Adenostyles leucophylla"
985,"Rhodos",27.9527,36.184622,"Mediterranean Forests, Woodlands & Scrub",18.29567,736.23438,"Aethionema arabicum"
1041,"East Aegean Islands",26.801856,37.787132,"Mediterranean Forests, Woodlands & Scrub",16.74125,659.15424,"Aethionema arabicum"
10608,"Bulgaria",25.231377,42.761353,"Temperate Broadleaf & Mixed Forests",10.53092,591.27509,"Aethionema arabicum"
10734,"Lebanon-Syria",38.372554,34.957442,"Temperate Grasslands, Savannas & Shrublands",17.98399,281.72293,"Aethionema arabicum"
10896,"Turkey-in-Europe",27.299642,41.261199,"Temperate Broadleaf & Mixed Forests",13.35277,629.14602,"Aethionema arabicum"
11438,"Armenia",44.938233,40.293585,"Temperate Broadleaf & Mixed Forests",6.33603,512.92381,"Aethionema arabicum"
12075,"Turkey excl. East Agean Islands",35.176624,39.059963,"Temperate Broadleaf & Mixed Forests",10.67716,594.88809,"Aethionema arabicum"
12622,"Eastern Transcaucasia",46.70459,40.877785,"Deserts & Xeric Shrublands",10.51786,543.82391,"Aethionema arabicum"
12623,"Southern Transcaucasia",45.129903,39.975463,"Temperate Grasslands, Savannas & Shrublands",6.82375,476.56415,"Aethionema arabicum"
12624,"Talysh",48.558278,38.931184,"Temperate Broadleaf & Mixed Forests",12.68313,602.24763,"Aethionema arabicum"
10409,"Peloponnese",22.288492,37.476681,"Mediterranean Forests, Woodlands & Scrub",14.50676,735.26109,"Aethionema cordatum"
10410,"Sterea Ellas, Greece",22.435462,38.517009,"Mediterranean Forests, Woodlands & Scrub",14.36752,695.28668,"Aethionema cordatum"
10688,"Greece excl. Crete and East Aegean",22.674575,39.367238,"Mediterranean Forests, Woodlands & Scrub",13.49893,661.61636,"Aethionema cordatum"
10761,"Morocco",-6.317546,31.884132,"Mediterranean Forests, Woodlands & Scrub",17.14373,296.4395,"Aethionema cordatum"
11438,"Armenia",44.938233,40.293585,"Temperate Broadleaf & Mixed Forests",6.33603,512.92381,"Aethionema cordatum"
12075,"Turkey excl. East Agean Islands",35.176624,39.059963,"Temperate Broadleaf & Mixed Forests",10.67716,594.88809,"Aethionema cordatum"
12076,"Asiatic Turkey excl. East Agean Islands",35.433273,38.988182,"Temperate Broadleaf & Mixed Forests",10.58973,593.7723,"Aethionema cordatum"
12623,"Southern Transcaucasia",45.129903,39.975463,"Temperate Grasslands, Savannas & Shrublands",6.82375,476.56415,"Aethionema cordatum"
11438,"Armenia",44.938233,40.293585,"Temperate Broadleaf & Mixed Forests",6.33603,512.92381,"Aethionema diastrophis"
12623,"Southern Transcaucasia",45.129903,39.975463,"Temperate Grasslands, Savannas & Shrublands",6.82375,476.56415,"Aethionema diastrophis"
10231,"Cuyahoga Valley National Park, USA",-81.571478,41.258941,"Temperate Broadleaf & Mixed Forests",9.77155,959.30308,"Agrimonia gryposepala"
10250,"Mammoth Cave National Park, USA",-86.131024,37.197945,"Temperate Broadleaf & Mixed Forests",13.57326,1306.98434,"Agrimonia gryposepala"
10260,"Shenandoah National Park, USA",-78.469679,38.491324,"Temperate Broadleaf & Mixed Forests",10.37947,1133.24295,"Agrimonia gryposepala"
10261,"Voyageurs National Park, USA",-92.837777,48.483582,"Temperate Broadleaf & Mixed Forests",3.10635,683.93402,"Agrimonia gryposepala"
10280,"La Mauricie National Park, Canada",-72.96712,46.78835,"Temperate Broadleaf & Mixed Forests",3.02854,1083.92649,"Agrimonia gryposepala"
10557,"Mexico",-102.534989,23.950923,"Deserts & Xeric Shrublands",20.35159,756.2127,"Agrimonia gryposepala"
10571,"Alabama",-86.829068,32.793899,"Temperate Grasslands, Savannas & Shrublands",17.0826,1458.61076,"Agrimonia gryposepala"
10581,"Arizona",-111.657596,34.296696,"Deserts & Xeric Shrublands",15.4665,324.37211,"Agrimonia gryposepala"
10582,"Arkansas",-92.442357,34.900843,"Temperate Broadleaf & Mixed Forests",15.81211,1275.84957,"Agrimonia gryposepala"
10617,"California",-119.587455,37.23999,"Temperate Conifer Forests",14.02984,552.93863,"Agrimonia gryposepala"
10637,"Connecticut",-72.727581,41.625743,"Temperate Broadleaf & Mixed Forests",9.38551,1223.97287,"Agrimonia gryposepala"
10656,"Delaware",-75.51281,38.998141,"Temperate Grasslands, Savannas & Shrublands",13.01742,1132.66839,"Agrimonia gryposepala"
10680,"Georgia",-83.446678,32.65409,"Temperate Grasslands, Savannas & Shrublands",17.5602,1287.53655,"Agrimonia gryposepala"
10701,"Illinois",-89.154719,40.121115,"Temperate Grasslands, Savannas & Shrublands",11.02222,984.00404,"Agrimonia gryposepala"
10703,"Indiana",-86.285359,39.913823,"Temperate Broadleaf & Mixed Forests",10.93838,1039.01359,"Agrimonia gryposepala"
10704,"Iowa",-93.496401,42.078631,"Temperate Grasslands, Savannas & Shrublands",8.89138,846.22249,"Agrimonia gryposepala"
10716,"Kansas",-98.369251,38.483635,"Temperate Grasslands, Savannas & Shrublands",12.48798,708.00005,"Agrimonia gryposepala"
