species;mean_wc2.0_bio_30s_01;mean_wc2.0_bio_30s_12;mean_MODCF_meanannual;mean_pet_he_yr;mean_ai_yr;mean_mn30_grd_slope;mean_mn30_grd;mean_3DGlobalVeg_L3C;mean_CHELSA_NFD
Asplenium trichomanes;11.701755425;924.846504325;58.7140371921182;972.994546859297;1.08472565326633;0.0666085467980296;595.379784236453;10.4436055665025;68.7381746172839
Asplenium trichomanes;11.701755425;924.846504325;58.7140371921182;972.994546859297;1.08472565326633;0.0666085467980296;595.379784236453;10.4436055665025;68.7381746172839
Aster alpinus;4.51071716981132;679.057617232704;59.4890118238994;754.945089811321;0.978549433962264;0.086784213836478;963.919894465409;10.0113618867925;158.545151132075
Aster alpinus;4.51071716981132;679.057617232704;59.4890118238994;754.945089811321;0.978549433962264;0.086784213836478;963.919894465409;10.0113618867925;158.545151132075
Aster alpinus;4.51071716981132;679.057617232704;59.4890118238994;754.945089811321;0.978549433962264;0.086784213836478;963.919894465409;10.0113618867925;158.545151132075
Aster amellus;9.32675733333333;849.973894666667;63.1024523333333;863.848245416667;1.04327433333333;0.0642586666666667;595.895755583333;11.2279751666667;107.240165583333
Aster amellus;9.32675733333333;849.973894666667;63.1024523333333;863.848245416667;1.04327433333333;0.0642586666666667;595.895755583333;11.2279751666667;107.240165583333
Aster azureus;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Aster himalaicus;6.87678625;984.68043125;67.082695;915.63412375;1.026445;0.18187;2946.54112125;14.06299375;145.0325125
Aster linosyris;9.65350163793103;761.546975086207;59.5673987596899;841.75922;0.9973125;0.0561779069767442;452.225580155039;8.86628496124031;80.6878717829457
Aster linosyris;9.65350163793103;761.546975086207;59.5673987596899;841.75922;0.9973125;0.0561779069767442;452.225580155039;8.86628496124031;80.6878717829457
Aster macrophyllus;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
Aster novi-belgii;10.5999735789474;1057.37375810526;63.2853912796209;883.010184623656;1.25391677419355;0.0431521327014218;346.268113459716;9.1582963507109;84.3478596172249
