"entity_ID","geo_entity","longitude","latitude","biome","mean_wc2.0_bio_30s_01","mean_wc2.0_bio_30s_12","species"
10579,"Angola, excl. Cabinda",17.571815,-12.335762,"Tropical & Subtropical Grasslands, Savannas & Shrublands",21.57398,1024.95693,"Acacia erioloba"
10934,"Zimbabwe",29.871762,-19.000007,"Tropical & Subtropical Grasslands, Savannas & Shrublands",20.58986,665.39732,"Acacia erioloba"
202,"La Réunion",55.532685,-21.133348,"Tropical & Subtropical Moist Broadleaf Forests",17.66498,1576.44324,"Acacia heterophylla"
12284,"Mascarene Islands",56.583964,-20.73737,"Tropical & Subtropical Moist Broadleaf Forests",19.76507,1618.89625,"Acacia heterophylla"
587,"Tasmania",146.59427,-41.936208,"Temperate Broadleaf & Mixed Forests",10.44801,1321.66836,"Acacia mearnsii"
1045,"Jawa",110.094062,-7.28518,"Tropical & Subtropical Moist Broadleaf Forests",24.69972,2417.44508,"Acacia mearnsii"
1065,"Sulawesi",121.291679,-2.124234,"Tropical & Subtropical Moist Broadleaf Forests",24.44513,2165.7324,"Acacia mearnsii"
10014,"Theog Forest Division, India",77.425617,31.12008,"Temperate Broadleaf & Mixed Forests",15.00975,1335.67862,"Acacia mearnsii"
10064,"Grampians National Park, Australia",142.409763,-37.254378,"Temperate Broadleaf & Mixed Forests",12.41415,766.80453,"Acacia mearnsii"
10066,"Snowy River National Park, Australia",148.443238,-37.255373,"Temperate Broadleaf & Mixed Forests",12.17855,790.58203,"Acacia mearnsii"
10524,"East Tropical Africa",35.487304,-3.004376,"Tropical & Subtropical Grasslands, Savannas & Shrublands",23.04106,875.2384,"Acacia mearnsii"
10539,"Indo-China",100.967002,17.674784,"Tropical & Subtropical Moist Broadleaf Forests",24.37489,1778.02945,"Acacia mearnsii"
10541,"Papuasia",142.081855,-5.438902,"Tropical & Subtropical Moist Broadleaf Forests",24.14073,3050.39828,"Acacia mearnsii"
10542,"Australia",134.49059,-25.73253,"Deserts & Xeric Shrublands",21.75157,479.63945,"Acacia mearnsii"
10669,"Ethiopia",39.616019,8.626141,"Tropical & Subtropical Grasslands, Savannas & Shrublands",22.87295,801.88335,"Acacia mearnsii"
10778,"Myanmar",96.508829,21.140424,"Tropical & Subtropical Moist Broadleaf Forests",23.17651,2016.18254,"Acacia mearnsii"
10845,"Rwanda",29.917195,-1.997987,"Tropical & Subtropical Moist Broadleaf Forests",18.80449,1163.57462,"Acacia mearnsii"
10881,"Tanzania",34.823404,-6.270197,"Tropical & Subtropical Grasslands, Savannas & Shrublands",22.3826,964.71863,"Acacia mearnsii"
10903,"Uganda",32.386241,1.280082,"Tropical & Subtropical Grasslands, Savannas & Shrublands",22.47258,1184.28855,"Acacia mearnsii"
10911,"Victoria",144.307857,-36.857466,"Temperate Broadleaf & Mixed Forests",13.99256,679.77478,"Acacia mearnsii"
10932,"Zaïre",23.654457,-2.876231,"Tropical & Subtropical Grasslands, Savannas & Shrublands",23.72958,1575.0639,"Acacia mearnsii"
11111,"Distrito Federal, Mexico",-99.087942,19.238319,"Tropical & Subtropical Coniferous Forests",14.48912,909.61716,"Acacia mearnsii"
11421,"Central Coast, Australia",150.79668,-33.679673,"Temperate Broadleaf & Mixed Forests",16.16573,1029.81446,"Acacia mearnsii"
11422,"South Coast, Australia",149.957496,-36.196457,"Temperate Broadleaf & Mixed Forests",14.78935,949.22933,"Acacia mearnsii"
11424,"Central Tablelands, Australia",149.792882,-33.679771,"Temperate Broadleaf & Mixed Forests",12.76219,869.47675,"Acacia mearnsii"
11425,"Southern Tablelands, Australia",149.059464,-35.72627,"Temperate Broadleaf & Mixed Forests",11.30218,862.96786,"Acacia mearnsii"
11467,"Indonesia",117.284158,-2.233093,"Tropical & Subtropical Moist Broadleaf Forests",25.3549,2731.33723,"Acacia mearnsii"
11482,"Papua New Guinea",145.252318,-6.477287,"Tropical & Subtropical Moist Broadleaf Forests",23.66132,2995.07763,"Acacia mearnsii"
12160,"Sunda shelf",104.271595,10.21699,"Tropical & Subtropical Moist Broadleaf Forests",24.95697,2214.20751,"Acacia mearnsii"
12161,"Sahul shelf",135.145395,-23.820829,"Deserts & Xeric Shrublands",21.96928,716.86063,"Acacia mearnsii"
12162,"Wallacea",122.789725,3.395579,"Tropical & Subtropical Moist Broadleaf Forests",25.28623,2270.0365,"Acacia mearnsii"
12163,"Adelaide, Australia",140.462465,-35.49419,"Mediterranean Forests, Woodlands & Scrub",15.3449,468.63328,"Acacia mearnsii"
12169,"Eastern Desert, Australia",140.941624,-28.216153,"Deserts & Xeric Shrublands",20.77307,305.40488,"Acacia mearnsii"
12171,"Eyre Peninsula, Australia",136.097199,-32.641152,"Deserts & Xeric Shrublands",17.56855,295.47165,"Acacia mearnsii"
12176,"Southeastern Australia",150.34665,-32.807138,"Temperate Broadleaf & Mixed Forests",14.8965,908.87367,"Acacia mearnsii"
12178,"Southwestern Australia",117.012649,-31.854698,"Mediterranean Forests, Woodlands & Scrub",17.49456,486.88343,"Acacia mearnsii"
12179,"Victoria, Australia",146.038567,-37.466676,"Temperate Broadleaf & Mixed Forests",12.96357,890.66433,"Acacia mearnsii"
10542,"Australia",134.49059,-25.73253,"Deserts & Xeric Shrublands",21.75157,479.63945,"Acacia nanodealbata"
10911,"Victoria",144.307857,-36.857466,"Temperate Broadleaf & Mixed Forests",13.99256,679.77478,"Acacia nanodealbata"
12161,"Sahul shelf",135.145395,-23.820829,"Deserts & Xeric Shrublands",21.96928,716.86063,"Acacia nanodealbata"
12163,"Adelaide, Australia",140.462465,-35.49419,"Mediterranean Forests, Woodlands & Scrub",15.3449,468.63328,"Acacia nanodealbata"
12176,"Southeastern Australia",150.34665,-32.807138,"Temperate Broadleaf & Mixed Forests",14.8965,908.87367,"Acacia nanodealbata"
12179,"Victoria, Australia",146.038567,-37.466676,"Temperate Broadleaf & Mixed Forests",12.96357,890.66433,"Acacia nanodealbata"
191,"Flinders Island",134.493992,-33.719394,"Mediterranean Forests, Woodlands & Scrub",16.41345,437.31086,"Acacia paradoxa"
201,"Kangaroo Island",137.240283,-35.827998,"Mediterranean Forests, Woodlands & Scrub",15.23242,629.29759,"Acacia paradoxa"
